project_ID,PIO
17375,0
17416,1
17477,0
17485,1
17487,0
17548,0
17648,0
17884,0
17896,0
17990,2
18014,0
18045,1
18149,3
18230,1
18237,2
19007,1
19027,0
19079,0
19226,1
19235,1
19236,1
19237,1
19243,1
19257,0
19259,0
19261,0
19262,2
19341,3
19343,1
19349,3
19369,1
19382,3
19577,0
19755,1
19756,1
19839,3
19841,0
19866,1
19872,0
19878,0
20142,0
20180,1
20220,1
20368,0
20375,1
20382,4
20533,0
20535,12
20548,0
20588,0
20687,0
20786,6
20792,0
20860,0
20863,0
20868,0
20944,0
21128,0
21163,0
21176,1
21221,0
21329,0
21428,0
21442,0
21445,0
21662,0
21707,1
21781,1
21839,0
21858,3
21880,0
21884,1
21949,1
21959,4
21966,0
21994,0
22007,1
22050,4
22088,2
22104,1
22191,0
22194,0
22220,3
22224,0
22272,4
22316,2
22318,1
22320,2
22367,1
22383,3
22390,2
22440,0
22610,3
22649,1
22766,16
22859,0
23028,1
23040,0
23043,1
23094,9
23131,4
23143,2
23155,0
23162,1
23215,0
23218,1
23274,0
23282,1
23286,3
23306,12
23333,7
23847,0
23884,0
23903,2
23933,1
23969,1
24037,1
24052,1
24053,1
24157,2
24179,1
24208,12
24271,7
24272,1
24289,4
24315,2
24321,4
24341,1
24344,2
24422,9
24447,2
24475,1
24487,9
24528,2
24529,2
24551,1
24592,0
24594,1
24596,1
24597,2
24600,2
24603,2
24604,2
24622,2
24638,0
24641,1
24647,1
24649,1
24661,1
24692,0
24697,4
24700,4
24710,4
24754,0
24806,0
24813,4
24840,17
24848,0
24881,1
24897,4
24901,0
24950,2
24959,1
25005,1
25015,0
25043,0
25120,4
25132,2
25166,0
25189,2
25221,5
25284,13
25316,2
25318,2
25320,2
25321,5
25337,2
25416,2
25417,2
25419,2
25432,1
25507,2
25604,2
25606,4
25619,2
25625,7
25654,4
25660,0
25662,0
25681,0
25686,6
25721,0
25757,1
25766,4
25771,0
25814,0
25825,2
25826,2
25901,4
25950,0
25961,1
25962,0
25965,1
25978,4
25988,3
25997,7
26211,4
26227,2
26251,11
26331,2
26389,1
26455,1
26456,0
26504,0
26527,4
26641,4
26645,0
26658,1
26695,1
26705,4
26706,14
26724,0
26765,4
26839,1
26867,1
26876,9
26918,4
26960,4
26969,1
26970,1
26994,4
27016,1
27027,0
27051,2
27074,2
27092,0
27155,3
27189,0
27260,0
27269,2
27270,1
27301,1
27320,4
27326,4
27349,1
27368,4
27369,5
27386,4
27393,2
27421,6
27514,1
27550,2
27588,1
27602,1
27635,11
27667,4
27670,0
27682,1
27810,0
27846,1
27858,1
27968,10
28000,0
28055,4
28071,0
28113,19
28138,0
28159,0
28187,8
28194,4
28250,0
28253,4
28271,1
28301,4
28394,1
28399,1
28437,1
28438,1
28481,4
28498,4
28562,0
28598,1
28602,1
28615,15
28617,0
28625,2
28665,8
28722,4
28737,0
28772,4
28815,0
28820,0
28840,2
28857,1
28861,2
28877,1
28880,4
28884,0
28887,1
28890,2
28919,1
28932,0
28942,4
28952,1
28955,0
28981,6
28990,0
28998,2
29004,18
29009,4
29032,1
29063,1
29094,2
29140,0
29218,1
29283,1
29286,1
29302,1
29332,7
29352,2
29356,0
29361,4
29367,4
29373,1
29377,2
29397,4
29400,0
29408,4
29411,2
29414,0
29420,1
29429,4
29458,0
29479,4
29517,0
29599,0
29614,0
29639,0
29656,2
29685,0
29721,3
29769,4
29780,5
29783,0
29800,7
29875,14
29903,4
29936,2
29964,4
29981,4
30036,14
30079,1
30081,1
30087,0
30139,6
30153,0
30170,4
30219,0
30234,1
30260,4
30348,4
30403,1
30409,0
30410,0
30473,4
30474,0
30502,2
30515,5
30524,0
30537,0
30560,13
30579,0
30586,4
30607,0
30644,3
30650,0
30671,4
30745,1
30751,2
30776,1
30782,1
30832,0
30896,0
30910,4
30937,4
30939,1
30961,1
30965,2
30980,1
30982,8
31040,0
31054,0
31085,7
31086,0
31092,8
31113,0
31170,11
31171,4
31174,4
31187,0
31194,0
31195,0
31222,1
31233,1
31254,4
31259,4
31263,7
31281,4
31298,7
31300,1
31302,0
31312,2
31362,1
31367,1
31412,0
31420,8
31442,6
31445,0
31470,2
31477,4
31488,4
31510,2
31531,1
31556,1
31559,1
31568,1
31590,1
31649,1
31673,2
31686,2
31715,1
31726,1
31727,1
31736,4
31742,6
31754,1
31786,0
31801,1
31816,4
31857,2
31880,0
31911,2
31931,2
31936,2
31938,6
31951,4
32005,2
32026,25
32033,1
32061,4
32062,0
32081,1
32097,5
32102,0
32123,16
32174,3
32182,4
32183,0
32192,3
32195,2
32244,1
32246,17
32250,4
32260,0
32275,4
32362,3
32364,4
32394,2
32396,2
32435,3
32451,2
32453,6
32459,3
32462,3
32467,12
32487,4
32505,1
32551,2
32554,2
32574,9
32599,0
32650,4
32653,4
32670,6
32688,0
32702,2
32704,2
32717,0
32735,4
32750,0
32796,5
32825,1
32841,20
32868,0
32876,4
32885,0
32924,2
32926,4
32944,0
32953,0
32969,2
33014,1
33018,0
33021,2
33041,4
33097,3
33138,2
33140,0
33150,0
33155,7
33159,0
33183,1
33189,2
33193,4
33236,1
33303,0
33311,2
33318,0
33325,1
33326,0
33351,1
33373,1
33462,0
33499,1
33506,3
33517,1
33540,1
33607,1
33696,0
33703,0
33775,1
33790,1
33819,1
33830,0
33844,5
33858,9
33873,0
33885,0
33888,15
33915,1
33922,2
33986,3
34024,17
34076,13
34084,3
34122,1
34134,0
34140,1
34158,1
34207,1
34235,15
34242,22
34260,1
34311,2
34316,1
34342,2
34349,5
34352,1
34380,1
34399,2
34413,0
34439,1
34443,1
34444,7
34454,22
34469,13
34498,2
34519,1
34564,1
34614,0
34624,1
34638,1
34646,1
34654,17
34659,1
34667,1
34675,1
34698,1
34717,0
34791,5
34796,1
34806,11
34813,1
34821,2
34839,0
34881,1
34888,1
34954,1
34956,3
34971,1
34973,1
34978,1
34982,2
34986,1
34991,4
35022,0
35029,7
35042,1
35043,1
35059,8
35063,2
35070,2
35073,1
35096,0
35158,1
35163,0
35169,5
35178,6
35180,0
35184,2
35186,1
35231,2
35245,0
35247,1
