project_ID,MCEL
17990,7
18014,3
18045,5
18149,7
18230,3
18237,3
19079,2
19349,10
19382,13
19839,10
19878,5
20687,1
20786,30
21442,2
21662,2
21959,24
22367,30
23162,19
23333,7
24421,1
24422,66
24754,1
24901,3
26641,23
26695,18
27074,2
27189,5
27369,8
27421,6
28000,3
28602,3
28920,1
28981,61
29004,54
29302,3
29780,27
29875,22
30036,15
30071,1
30139,59
30219,2
30650,2
30980,14
31263,1
31298,1
31367,4
31510,10
31559,6
31590,6
31736,1
31742,10
31754,24
31938,70
32102,4
32123,4
32246,28
32453,66
32670,99
32841,34
33097,5
33150,1
33159,17
33318,8
33326,17
33607,10
33830,2
33888,52
34024,75
34084,14
34134,17
34399,14
34413,23
34614,15
34654,55
34675,13
34821,16
34839,17
34879,1
35022,18
35059,28
35070,24
35163,17
35169,17
35180,10
35249,24
35252,21
35287,15
35311,18
35348,14
35403,17
35437,16
35451,17
35466,17
35470,1
35550,16
35755,21
35786,16
35830,29
35994,18
36085,25
36106,18
36216,10
36219,17
36267,3
36298,30
36448,4
36526,1
36553,1
36836,2
36977,6
37042,19
37197,6
37247,2
37325,8
37369,1
37439,4
37566,13
37601,26
37658,13
37660,23
37811,1
37972,18
38113,3
38160,17
38173,3
38758,24
39019,20
39137,36
39239,57
39590,2
39694,1
39721,1
39743,17
39785,18
39852,16
39906,20
39907,1
39928,13
39950,15
39960,4
40018,17
40105,16
40123,54
40208,18
40223,25
40353,18
40359,16
40366,21
40412,1
40418,2
40533,18
40767,1
40778,18
40991,17
41016,17
41028,17
41077,17
41186,17
41246,17
41291,17
41332,17
41336,17
41390,16
41454,22
41455,17
41527,8
41557,2
41567,17
41657,17
41677,14
42702,17
42721,17
42723,15
42763,16
42777,16
42867,18
42900,19
42924,19
42930,17
43097,17
43187,19
43332,18
43348,17
43368,17
43474,8
43543,17
43546,17
43638,10
43639,8
43646,16
43712,12
43959,53
44045,4
44106,15
44114,17
44348,27
44435,22
44448,18
44474,16
44543,3
44700,10
44738,5
44740,34
44749,65
44984,18
45089,13
45103,18
45231,2
45232,16
45271,18
45307,14
45500,2
45614,2
45640,10
45645,2
45718,11
45911,8
45917,16
45932,19
45948,13
46029,12
46036,15
46062,28
46168,8
46422,13
46613,5
46740,16
46859,8
46948,18
46962,17
46980,1
47005,24
47325,13
47330,11
47355,4
47652,21
47680,5
47688,29
47806,51
47948,32
48006,78
48102,11
48346,6
48587,1
48679,9
48839,32
48852,20
48893,75
49023,54
49181,11
49369,8
49603,24
49724,8
49739,12
49772,28
49810,17
49951,3
50321,25
50440,28
50443,7
50493,19
50579,60
50672,54
50725,27
50820,3
50868,3
51037,11
51061,73
51110,23
51176,14
51225,44
51226,51
51238,11
51314,14
51443,12
51491,1
51535,24
51543,27
51670,15
51681,18
51777,14
51850,1
51949,12
51998,18
52206,11
52290,12
52414,36
52551,14
52647,7
52741,17
52910,17
52960,17
53102,5
53209,13
53215,12
53217,12
53445,32
53548,1
53565,17
53570,8
53732,5
53816,5
53823,3
53870,19
53873,11
53998,50
54002,25
54275,51
54439,29
54484,1
54801,6
55351,31
55526,6
55546,4
55560,66
55595,10
55660,9
55689,1
55847,1
55882,71
55885,17
55917,58
55926,14
55941,1
55966,4
56015,69
56137,66
56246,18
56356,92
56381,1
56416,8
56430,13
56533,12
56555,66
56785,6
56890,17
56903,32
57112,2
57202,18
57411,79
57417,2
57480,54
57501,1
57560,52
57571,54
57652,52
57661,78
57666,78
57682,78
57728,1
57737,18
57809,21
57886,1
57937,3
58045,25
58089,7
