project_ID,NOI
17375,2
17416,0
17477,0
17485,0
17487,1
17548,1
17648,1
17884,1
17896,1
17990,0
18014,1
18045,2
18149,0
18230,2
18237,2
19007,0
19027,0
19079,1
19226,1
19235,1
19236,0
19237,1
19243,2
19257,0
19259,0
19261,0
19262,0
19341,1
19343,0
19349,3
19369,0
19382,3
19577,1
19755,1
19756,1
19839,3
19841,3
19866,1
19872,1
19878,1
20142,3
20180,0
20220,1
20368,0
20375,0
20382,2
20533,3
20535,6
20548,2
20588,5
20687,2
20786,18
20792,1
20860,1
20863,4
20868,1
20944,4
21128,0
21163,0
21176,0
21221,4
21329,9
21428,1
21442,4
21445,3
21662,4
21707,1
21781,0
21839,2
21858,4
21880,7
21884,0
21949,0
21959,9
21966,1
21994,1
22007,3
22050,2
22088,1
22104,1
22191,9
22194,9
22220,2
22224,5
22272,9
22316,3
22318,7
22320,17
22367,8
22383,2
22390,17
22440,1
22610,2
22649,0
22766,11
22859,1
23028,9
23040,1
23043,1
23094,6
23131,2
23143,1
23155,3
23162,10
23215,1
23218,1
23274,2
23282,1
23286,2
23306,5
23333,3
23847,4
23884,4
23903,1
23933,1
23969,1
24037,10
24052,12
24053,2
24157,1
24179,0
24208,15
24271,5
24272,1
24289,2
24315,12
24321,2
24341,4
24344,3
24422,6
24447,2
24475,1
24487,7
24528,1
24529,2
24551,1
24592,3
24594,0
24596,0
24597,2
24600,2
24603,2
24604,2
24622,2
24638,0
24641,1
24647,12
24649,2
24661,14
24692,0
24697,2
24700,2
24710,2
24754,4
24806,4
24813,2
24840,3
24848,6
24881,2
24897,2
24901,2
24950,2
24959,0
25005,0
25015,4
25043,4
25120,1
25132,2
25166,0
25189,3
25221,1
25284,4
25316,2
25318,2
25320,3
25321,12
25337,3
25416,2
25417,3
25419,3
25432,7
25507,3
25604,4
25606,1
25619,0
25625,2
25654,2
25660,4
25662,4
25681,3
25686,7
25721,3
25757,1
25766,1
25771,0
25814,5
25825,2
25826,2
25901,1
25950,5
25961,0
25962,0
25965,2
25978,2
25988,3
25997,2
26211,2
26227,2
26251,17
26331,12
26389,1
26455,4
26456,4
26504,1
26527,2
26641,9
26645,3
26658,13
26695,10
26705,2
26706,2
26724,2
26765,5
26839,13
26867,1
26876,9
26918,1
26960,1
26969,1
26970,0
26994,2
27016,0
27027,10
27051,1
27074,1
27092,5
27155,6
27189,4
27260,14
27269,0
27270,0
27301,1
27320,1
27326,1
27349,8
27368,1
27369,3
27386,2
27393,14
27421,7
27514,1
27550,4
27588,1
27602,3
27635,6
27667,1
27670,0
27682,1
27810,6
27846,13
27858,13
27968,7
28000,7
28055,2
28071,13
28113,17
28138,1
28159,1
28187,4
28194,1
28250,2
28253,16
28271,13
28301,1
28394,10
28399,1
28437,1
28438,10
28481,1
28498,1
28562,4
28598,5
28602,4
28615,6
28617,0
28625,1
28665,12
28722,2
28737,12
28772,1
28815,4
28820,0
28840,2
28857,0
28861,4
28877,1
28880,1
28884,1
28887,4
28890,3
28919,12
28932,5
28942,3
28952,0
28955,1
28981,4
28990,4
28998,2
29004,5
29009,1
29032,0
29063,3
29094,3
29140,7
29218,4
29283,0
29286,0
29302,4
29332,11
29352,4
29356,3
29361,2
29367,1
29373,5
29377,9
29397,1
29400,10
29408,2
29411,4
29414,11
29420,4
29429,2
29458,2
29479,2
29517,4
29599,8
29614,1
29639,2
29656,3
29685,7
29721,14
29769,2
29780,7
29783,1
29800,4
29875,5
29903,1
29936,4
29964,4
29981,1
30036,5
30079,14
30081,10
30087,5
30139,0
30153,3
30170,2
30219,1
30234,0
30260,2
30348,4
30403,13
30409,3
30410,4
30473,1
30474,12
30502,3
30515,1
30524,0
30537,4
30560,3
30579,1
30586,3
30607,0
30644,8
30650,2
30671,2
30745,4
30751,1
30776,3
30782,3
30832,5
30896,4
30910,1
30937,2
30939,0
30961,1
30965,3
30980,9
30982,6
31040,0
31054,1
31085,5
31086,6
31092,17
31113,5
31170,8
31171,1
31174,1
31187,5
31194,5
31195,5
31222,5
31233,5
31254,1
31259,1
31263,1
31281,2
31298,1
31300,2
31302,1
31312,3
31362,1
31367,5
31412,0
31420,11
31442,4
31445,0
31470,3
31477,2
31488,2
31510,4
31531,2
31556,14
31559,18
31568,0
31590,18
31649,5
31673,3
31686,3
31715,3
31726,1
31727,0
31736,3
31742,9
31754,9
31786,4
31801,6
31816,1
31857,4
31880,2
31911,4
31931,5
31936,3
31938,4
31951,2
32005,8
32026,11
32033,10
32061,1
32062,4
32081,3
32097,2
32102,3
32123,3
32174,4
32182,1
32183,3
32192,3
32195,3
32244,0
32246,5
32250,1
32260,12
32275,3
32362,4
32364,2
32394,3
32396,3
32435,1
32451,3
32453,4
32459,4
32462,4
32467,8
32487,1
32505,2
32551,3
32554,6
32574,10
32599,12
32650,2
32653,5
32670,4
32688,5
32702,2
32704,3
32717,5
32735,1
32750,2
32796,10
32825,4
32841,11
32868,1
32876,2
32885,2
32924,2
32926,1
32944,2
32953,4
32969,2
33014,0
33018,0
33021,3
33041,2
33097,2
33138,2
33140,0
33150,13
33155,1
33159,10
33183,1
33189,1
33193,1
33236,3
33303,0
33311,3
33318,9
33325,3
33326,9
33351,2
33373,12
33462,5
33499,3
33506,3
33517,3
33540,5
33607,9
33696,3
33703,3
33775,3
33790,3
33819,13
33830,10
33844,21
33858,4
33873,10
33885,9
33888,0
33915,3
33922,9
33986,5
34024,5
34076,6
34084,12
34122,3
34134,9
34140,3
34158,7
34207,3
34235,5
34242,17
34260,3
34311,3
34316,3
34342,4
34349,5
34352,9
34380,10
34399,10
34413,9
34439,3
34443,6
34444,7
34454,4
34469,7
34498,2
34519,3
34564,3
34614,7
34624,3
34638,3
34646,3
34654,5
34659,3
34667,3
34675,9
34698,3
34717,9
34791,3
34796,3
34806,7
34813,4
34821,10
34839,9
34881,3
34888,3
34954,4
34956,5
34971,3
34973,3
34978,3
34982,3
34986,3
34991,2
35022,9
35029,6
35042,3
35043,3
35059,27
35063,3
35070,40
35073,5
35096,5
35158,3
35163,9
35169,19
35178,4
35180,9
35184,6
35186,3
35231,9
35245,6
35247,5
35249,7
35252,5
35255,22
35264,20
35269,8
35286,2
35287,6
35311,17
35319,2
35325,1
35348,14
35355,3
35363,2
35388,3
35394,4
35403,2
35437,17
35451,9
35466,9
35470,1
35472,3
35545,6
35550,9
35551,3
35552,5
35598,7
35618,3
35755,6
35779,6
35786,6
35804,4
35830,8
35835,3
35837,3
35888,3
35890,28
35891,4
35922,8
35948,3
35966,3
35983,3
35994,9
36041,3
36046,3
36085,5
36106,5
36134,3
36135,1
36154,3
36176,7
36178,3
36195,3
36216,9
36219,11
36229,3
36267,4
36298,9
36333,5
36376,3
36379,3
36448,3
36577,3
36592,3
36618,9
36644,3
36693,8
36700,0
36701,0
36711,3
36739,3
36764,3
36789,18
36812,6
36814,5
36836,4
36843,2
36864,3
36873,3
36905,4
36937,3
36955,3
36977,7
36984,3
36985,5
36993,3
36998,13
37038,3
37040,3
37042,18
37096,3
37197,11
37231,3
37247,7
37287,12
37317,3
37325,3
37326,7
37346,6
37354,10
37369,0
37386,3
37406,4
37439,5
37467,3
37481,3
37491,3
37498,7
37517,5
37519,5
37566,5
37575,3
37601,19
37607,14
37608,14
37610,6
37611,6
37612,14
37658,7
37660,9
37672,6
37714,3
37719,4
37728,6
37811,14
37840,14
37875,15
37910,3
37925,11
37935,5
37943,14
37972,10
37985,3
37986,3
38010,20
38082,6
38113,3
38153,4
38160,6
38173,12
38256,2
38262,3
38266,4
38282,14
38324,4
38332,7
38412,10
38456,3
38466,3
38496,6
38526,3
38527,3
38579,3
38670,3
38671,4
38697,3
38729,3
38744,4
38745,3
38758,11
38808,3
38816,4
38821,4
38822,3
38902,22
38913,3
38968,3
39012,5
39019,10
39107,1
39112,5
39137,5
39160,3
39161,3
39166,3
39169,3
39188,1
39236,3
39239,5
39251,2
39286,9
39296,13
39359,14
39367,3
39378,3
39484,3
39486,1
39568,3
39590,3
39599,3
39639,3
39653,3
39668,2
39694,6
39721,4
39733,4
39743,9
39766,4
39776,7
39780,3
39785,4
39797,3
39852,8
39879,3
39883,6
39906,10
39916,3
39924,15
39928,4
39940,4
39950,3
39960,3
39962,4
39963,4
39968,9
39990,4
40018,9
40021,2
40038,0
40047,3
40051,5
40100,3
40105,3
40107,3
40123,5
40208,17
40223,15
40255,3
40272,8
40286,4
40353,18
40359,3
40366,19
40386,1
40390,3
40393,3
40404,1
40412,3
40417,17
40418,5
40462,4
40484,5
40533,9
40560,5
40576,4
40589,4
40591,3
40615,3
40616,3
40635,5
40652,9
40723,7
40767,1
40770,6
40778,18
40785,3
40833,4
40839,5
40840,6
40911,8
40991,9
41016,9
41028,9
41077,9
41186,9
41216,3
41239,3
41246,9
41274,7
41284,3
41285,4
41286,5
41291,9
41332,9
41336,9
41386,3
41390,9
41454,13
41455,9
41468,3
41527,24
41557,3
41567,9
41624,4
41657,9
