project_ID,LOCOM
17375,0
17416,0
17477,0
17485,0
17487,0
17548,0
17648,0
17884,0
17896,0
17990,0
18014,0
18045,0
18149,0
18230,0
18237,0
19007,0
19027,0
19079,0
19226,0
19235,0
19236,0
19237,0
19243,2
19257,0
19259,0
19261,0
19262,0
19341,0
19343,0
19349,0
19369,0
19382,0
19577,0
19755,0
19756,0
19839,0
19841,0
19866,0
19872,0
19878,0
20142,2
20180,0
20220,0
20368,0
20375,0
20382,0
20533,2
20535,8
20548,0
20588,0
20687,0
20786,15
20792,0
20860,0
20863,0
20868,0
20944,1
21128,0
21163,0
21176,0
21221,0
21329,15
21428,0
21442,0
21445,2
21662,5
21707,0
21781,0
21839,0
21858,7
21880,0
21884,0
21949,0
21959,8
21966,0
21994,0
22007,3
22050,3
22088,4
22104,0
22191,0
22194,0
22220,1
22224,23
22272,36
22316,4
22318,26
22320,19
22367,19
22383,1
22390,19
22440,0
22610,1
22649,0
22766,18
22859,0
23028,9
23040,5
23043,0
23094,8
23131,3
23143,3
23155,3
23162,15
23215,1
23218,0
23274,0
23282,0
23286,1
23306,13
23333,4
23847,25
23884,2
23903,4
23933,0
23969,4
24037,79
24052,23
24053,0
24157,3
24179,0
24208,10
24271,6
24272,0
24289,3
24315,103
24321,3
24341,10
24344,3
24422,20
24447,1
24475,0
24487,17
24528,0
24529,1
24551,0
24592,0
24594,0
24596,0
24597,1
24600,1
24603,1
24604,1
24622,1
24638,0
24641,0
24647,29
24649,1
24661,40
24692,0
24697,3
24700,3
24710,3
24754,2
24806,4
24813,3
24840,5
24848,22
24881,1
24897,3
24901,0
24950,1
24959,0
25005,0
25015,12
25043,1
25120,0
25132,1
25166,0
25189,3
25221,0
25284,10
25316,1
25318,1
25320,1
25321,2
25337,1
25416,1
25417,1
25419,1
25432,1
25507,1
25604,29
25606,0
25619,0
25625,0
25654,3
25660,17
25662,0
25681,12
25686,4
25721,11
25757,0
25766,0
25771,0
25814,0
25825,1
25826,1
25901,0
25950,2
25961,0
25962,0
25965,1
25978,6
25988,4
25997,4
26211,3
26227,1
26251,20
26331,103
26389,0
26455,5
26456,0
26504,4
26527,3
26641,8
26645,0
26658,22
26695,15
26705,3
26706,16
26724,1
26765,12
26839,65
26867,0
26876,49
26918,0
26960,0
26969,0
26970,0
26994,3
27016,0
27027,0
27051,4
27074,3
27092,8
27155,5
27189,1
27260,34
27269,0
27270,0
27301,0
27320,3
27326,0
27349,12
27368,0
27369,28
27386,3
27393,38
27421,20
27514,0
27550,3
27588,0
27602,0
27635,71
27667,0
27670,0
27682,0
27810,0
27846,71
27858,65
27968,12
28000,0
28055,3
28071,16
28113,17
28138,0
28159,0
28187,5
28194,0
28250,0
28253,28
28271,65
28301,0
28394,74
28399,0
28437,0
28438,78
28481,0
28498,0
28562,15
28598,0
28602,0
28615,34
28617,0
28625,3
28665,35
28722,3
28737,4
28772,0
28815,9
28820,0
28840,0
28857,0
28861,4
28877,0
28880,0
28884,0
28887,1
28890,0
28919,2
28932,5
28942,10
28952,0
28955,0
28981,20
28990,6
28998,4
29004,70
29009,0
29032,0
29063,0
29094,4
29140,3
29218,15
29283,0
29286,0
29302,0
29332,3
29352,4
29356,2
29361,3
29367,0
29373,5
29377,7
29397,0
29400,48
29408,3
29411,4
29414,0
29420,1
29429,0
29458,0
29479,3
29517,6
29599,9
29614,0
29639,0
29656,4
29685,7
29721,83
29769,3
29780,20
29783,3
29800,4
29875,35
29903,0
29936,2
29964,3
29981,0
30036,35
30079,46
30081,65
30087,16
30139,18
30153,12
30170,3
30219,0
30234,0
30260,3
30348,3
30403,7
30409,1
30410,1
30473,0
30474,3
30502,4
30515,0
30524,0
30537,15
30560,0
30579,0
30586,12
30607,0
30644,0
30650,3
30671,3
30745,3
30751,4
30776,2
30782,3
30832,0
30896,3
30910,0
30937,3
30939,0
30961,0
30965,4
30980,19
30982,7
31040,0
31054,0
31085,2
31086,1
31092,35
31113,14
31170,1
31171,0
31174,0
31187,1
31194,1
31195,1
31222,1
31233,1
31254,0
31259,0
31263,20
31281,3
31298,20
31300,0
31302,0
31312,3
31362,0
31367,2
31412,0
31420,28
31442,1
31445,0
31470,4
31477,3
31488,3
31510,5
31531,2
31556,15
31559,13
31568,0
31590,12
31649,4
31673,4
31686,3
31715,1
31726,0
31727,0
31736,9
31742,16
31754,24
31786,12
31801,0
31816,0
31857,4
31880,3
31911,2
31931,5
31936,3
31938,20
31951,3
32005,21
32026,13
32033,67
32061,0
32062,12
32081,7
32097,3
32102,6
32123,13
32174,4
32182,0
32183,0
32192,3
32195,4
32244,0
32246,7
32250,0
32260,0
32275,0
32362,4
32364,3
32394,3
32396,3
32435,3
32451,4
32453,20
32459,4
32462,4
32467,11
32487,0
32505,0
32551,4
32554,17
32574,15
32599,4
32650,3
32653,14
32670,19
32688,8
32702,4
32704,4
32717,23
32735,0
32750,0
32796,18
32825,6
32841,12
32868,0
32876,0
32885,0
32924,4
32926,0
32944,0
32953,18
32969,4
33014,0
33018,0
33021,3
33041,3
33097,0
33138,5
33140,0
33150,12
33155,0
33159,8
33183,0
33189,0
33193,0
33236,8
33303,0
33311,7
33318,0
33325,7
33326,46
33351,7
33373,21
33462,0
33499,7
33506,4
33517,8
33540,0
33607,9
33696,12
33703,12
33775,7
33790,7
33819,1
33830,68
33844,18
33858,12
33873,0
33885,59
33888,62
33915,8
33922,25
33986,1
34024,67
34076,10
34084,5
34122,7
34134,46
34140,7
34158,10
34207,7
34235,11
34242,57
34260,8
34311,8
34316,7
34342,4
34349,6
34352,1
34380,87
34399,4
34413,51
34439,10
34443,8
34444,27
34454,13
34469,23
34498,0
34519,8
34564,7
34614,39
34624,7
34638,7
34646,7
34654,64
34659,8
34667,8
34675,19
34698,7
34717,2
34791,8
34796,7
34806,12
34813,7
34821,27
34839,46
34881,7
34888,7
34954,20
34956,4
34971,8
34973,7
34978,7
34982,4
34986,7
34991,3
35022,46
35029,0
35042,8
35043,7
35059,24
35063,4
35070,13
35073,11
35096,9
35158,7
35163,46
35169,4
35178,19
35180,3
35184,15
35186,7
35231,8
35245,7
35247,40
35249,4
35252,2
35255,22
35264,28
35269,23
35286,1
35287,54
35311,15
35319,2
35325,1
35348,20
35355,0
35363,8
35388,11
35394,1
35403,2
35437,21
35451,46
35466,15
35470,0
35472,7
35545,8
35550,46
35551,8
35552,10
35598,24
35618,7
35755,28
35779,17
35786,3
35804,31
35830,23
35835,8
35837,8
35888,15
35890,25
35891,13
35922,11
35948,7
35966,8
35983,7
35994,46
36041,7
36046,7
36085,4
36106,12
36134,7
36135,1
36154,8
36176,9
36178,15
36195,7
36216,3
36219,46
36229,7
36267,5
36298,1
36333,5
36376,7
36379,8
36448,13
36577,7
36592,8
36618,2
36644,7
36693,24
36700,2
36701,0
36711,7
36739,8
36764,7
36789,14
36812,11
36814,21
36836,0
36843,1
36864,7
36873,8
36905,8
36937,4
36955,8
36977,4
36984,10
36985,20
36993,7
36998,12
37038,18
37040,7
37042,2
37096,7
37197,15
37231,7
37247,3
37287,34
37317,7
37325,3
37326,59
37346,23
37354,9
37369,74
37386,9
37406,3
37439,56
37467,8
37481,7
37491,7
37498,3
37517,15
37519,16
37566,7
37575,7
37601,4
37607,15
37608,12
37610,5
37611,5
37612,11
37658,18
37660,11
37672,8
37714,16
37719,3
37728,9
37811,12
37840,26
37875,5
37910,14
37925,13
37935,8
37943,8
37972,15
37985,7
37986,5
38010,28
38082,23
38113,3
38153,81
38160,18
38173,101
38256,12
38262,8
38266,4
38282,5
38324,7
38332,9
38412,118
38456,7
38466,8
38496,10
38526,8
38527,8
38579,7
38670,7
38671,8
38697,8
38729,7
38744,29
38745,7
38758,14
38808,8
38816,8
38821,14
38822,7
38902,20
38913,7
38968,8
39012,8
39019,15
39107,4
39112,1
39137,34
39160,8
39161,8
39166,8
39169,8
39188,0
39236,7
39239,72
39251,12
39286,2
39296,25
39359,21
39367,8
39378,6
39484,7
39486,3
39568,7
39590,6
39599,3
39639,7
39653,7
39668,1
39694,1
39721,4
39733,8
39743,46
39766,7
39776,35
39780,7
39785,39
39797,7
39852,1
39879,7
39883,8
39906,15
39916,7
39924,7
39928,4
39940,15
39950,38
39960,4
39962,11
39963,15
39968,46
39990,8
40018,48
40021,4
40038,23
40047,8
40051,1
40100,8
40105,39
40107,8
40123,70
40208,1
40223,60
40255,7
40272,3
40286,39
40353,3
40359,39
40366,4
40386,2
40390,7
40393,0
40404,2
40412,7
40417,110
40418,3
40462,1
40484,20
40533,46
40560,8
40576,9
40589,7
40591,7
40615,7
40616,7
40635,12
40652,24
40723,0
40767,0
40770,11
40778,1
40785,4
40833,9
40839,8
40840,8
40911,10
40991,46
41016,46
41028,46
41077,46
41186,46
41216,8
41239,7
41246,46
41274,8
41284,7
41285,13
41286,1
41291,46
41332,46
41336,46
41386,9
41390,46
41454,46
41455,46
41468,8
41527,35
41557,8
41567,47
41624,1
41657,44
41677,8
41688,33
42702,46
42721,46
42723,54
42735,7
42763,39
42777,53
42867,53
42895,7
42900,46
42909,8
42916,8
42924,49
42930,46
42933,4
42934,8
42965,7
42985,8
43030,9
43053,7
43057,7
43060,4
43097,45
43106,7
43161,9
43169,6
43187,46
43193,9
43232,8
43237,0
43251,11
43274,7
43320,8
43332,47
43348,46
43368,46
43419,8
43424,7
43474,10
43487,8
43524,7
43531,2
43543,46
43546,46
43608,12
43638,3
43639,18
43646,38
43698,14
43712,2
43716,1
43718,0
43719,78
43762,7
43789,13
43797,8
43868,7
43870,7
43873,4
43905,7
43907,7
43930,8
43959,7
44032,21
44045,16
44072,8
44106,54
44114,46
44125,5
44159,7
44260,9
44265,13
44337,23
44347,10
44348,2
44351,8
44352,10
44422,8
44435,16
44448,9
44452,7
44454,10
44474,46
44491,0
44497,35
44519,7
44543,8
44551,8
44565,7
44631,9
44662,7
44683,5
44684,8
44689,8
44700,5
44738,3
44740,4
44749,20
44790,6
44791,10
44840,78
44855,7
44984,8
45025,7
45089,13
45101,7
45103,46
45122,4
45231,4
45232,46
45247,7
45271,46
45281,7
45295,8
45298,0
45307,9
45337,8
45445,6
45455,12
45464,13
45468,15
45474,2
45485,8
45500,11
45536,7
45541,8
45614,7
45630,29
45640,5
45645,7
45656,7
45662,8
45677,41
45718,8
45736,22
45745,7
45746,3
45748,0
45757,1
45766,3
45802,12
45815,14
45828,0
45857,6
45870,1
45878,15
45890,31
45911,2
45917,12
45932,15
45948,13
45988,18
46023,7
46029,15
46036,54
46041,39
46044,9
46051,27
46062,124
46074,7
46079,7
46094,11
46125,1
46143,6
46168,0
46216,1
46298,2
46304,8
46313,22
46372,7
46389,2
46406,5
46409,13
46419,12
46422,4
46427,8
46465,7
46466,0
46485,8
46505,1
46527,8
46549,7
46564,19
46613,20
46632,10
46647,7
46669,8
46671,53
46740,46
46763,16
46765,7
46767,12
46780,6
46837,7
46859,0
46861,7
46925,7
46936,5
46948,16
46952,16
46960,7
46962,39
46980,14
46981,19
46985,13
47005,17
47031,8
47062,7
47177,23
47236,8
47241,8
47249,7
47252,7
47258,13
47296,33
47325,32
47330,6
47355,34
47465,0
47482,8
47483,13
47523,7
47532,7
47554,20
47555,2
47560,13
47561,7
47598,8
47614,10
47637,8
47644,22
47650,8
47652,4
47678,19
47680,27
47688,60
47705,10
47715,7
47724,8
47750,10
47751,8
47806,13
47811,8
47813,7
47824,8
47899,78
47903,6
47913,8
47931,0
47948,28
47958,8
47961,8
48006,70
48013,16
48015,2
48036,8
48102,9
48142,0
48144,8
48153,8
48183,22
48276,9
48307,28
48309,8
48344,19
48346,19
48357,0
48390,7
48397,1
48415,7
48541,8
48564,7
48583,8
48587,0
48593,0
48604,8
48638,8
48655,7
48674,8
48676,7
48679,5
48711,9
48774,7
48794,37
48818,13
48839,1
48852,13
48865,2
48893,167
48913,7
48964,20
48988,7
48999,9
49001,7
49009,0
49023,70
49039,8
49078,13
49106,43
49134,8
49162,7
49181,1
49185,7
49192,39
49206,7
49216,1
49298,7
49311,2
49327,25
49369,0
49396,0
49397,9
49404,20
49405,9
49536,6
49555,9
49569,8
49588,8
49590,8
49591,22
49603,15
49631,7
49637,8
49685,51
49724,3
49739,17
49772,51
49791,7
49794,7
49810,46
49919,7
49951,4
49966,8
49974,8
50009,8
50012,2
50013,6
50058,7
50062,20
50073,19
50160,44
50177,7
50190,8
50253,12
50321,15
50327,7
50376,7
50421,8
50440,40
50443,21
50470,23
50493,18
50514,9
50521,7
50530,19
50534,0
50570,7
50579,70
50592,8
50594,63
50644,7
50672,70
50687,1
50693,7
50725,6
50726,6
50775,16
50784,19
50787,8
50795,8
50817,9
50820,1
50868,2
50875,5
50935,12
51002,11
51019,11
51037,21
51042,11
51061,70
51108,7
51110,21
51147,7
51174,8
51176,8
51181,7
51208,39
51225,33
51226,53
51238,1
51261,20
51282,0
51300,17
51314,28
51365,7
51378,5
51386,0
51443,24
51466,7
51469,7
51491,5
51510,0
51513,0
51535,1
51543,4
51608,7
51634,2
51663,14
51670,24
51681,35
51740,74
51777,6
51796,6
51850,3
51949,24
51980,17
51998,46
52016,7
52056,3
52058,10
52080,76
52107,8
52176,8
52187,8
52195,33
52206,37
52223,7
52229,7
52233,7
52238,8
52252,11
52254,15
52290,25
52367,9
52404,23
52414,33
52457,7
52458,8
52466,19
52541,7
52551,11
52557,8
52589,37
52594,9
52630,16
52638,7
52647,29
52648,0
52650,20
52661,8
52671,17
52722,7
52723,9
52731,9
52741,46
52767,44
52833,5
52862,8
52910,46
52913,7
52959,7
52960,24
52983,34
53050,31
53071,8
53102,19
53123,7
53127,20
53136,7
53147,5
53196,10
53200,1
53209,4
53215,15
53217,15
53229,8
53248,8
53271,3
53275,8
53302,109
53306,16
53326,8
53390,26
53445,0
53528,10
53531,18
53548,3
53549,10
53565,4
53570,122
53571,5
53585,7
53587,3
53598,7
53600,4
53662,8
53663,2
53667,23
53676,7
53732,1
53816,22
53823,9
53830,7
53834,35
53845,5
53870,12
53873,20
53876,3
53884,6
53911,7
53946,8
53990,10
53993,18
53998,49
54002,60
54058,0
54159,15
54210,7
54244,4
54257,8
54275,51
54282,12
54296,0
54303,0
54334,19
54360,9
54375,7
54417,14
54421,3
54439,61
54443,183
54444,7
54495,7
54506,1
54528,14
54533,1
54547,16
54566,7
54580,7
54582,14
54585,7
54586,18
54626,19
54653,9
54667,22
54795,0
54801,33
54866,7
54881,12
54897,2
54938,29
54995,4
55014,78
55017,19
55019,0
55022,8
55028,7
55062,37
55077,23
55082,8
55121,17
55151,15
55167,0
55179,7
55229,0
55250,1
55346,10
55351,21
55357,7
55361,8
55370,15
55382,9
55398,4
55422,24
55475,7
55508,32
55511,7
55526,22
55535,19
55546,5
55560,51
55593,7
55595,24
55601,0
55646,71
55649,43
55660,33
55689,0
55718,8
55719,7
55772,8
55800,19
55817,1
55827,8
55839,8
55882,51
55885,46
55917,70
55920,7
55926,28
55941,0
55966,5
55994,44
55999,7
56012,7
56015,51
56027,27
56064,1
56107,7
56136,7
56137,51
56144,7
56153,8
56154,17
56159,0
56168,8
56221,0
56245,0
56246,24
56303,7
56336,11
56356,63
56381,1
56416,13
56430,11
56477,10
56485,7
56487,10
56533,6
56555,51
56574,7
56594,5
56672,35
56685,7
56699,7
56702,13
56733,28
56738,33
56741,14
56785,57
56830,7
56858,10
56882,17
56890,46
56903,62
56923,8
56951,10
56974,7
56975,7
56988,7
56990,7
57030,3
57034,12
57072,4
57108,13
57112,3
57159,19
57201,8
57202,9
57206,56
57238,18
57240,37
57255,0
57305,7
57384,7
57394,2
57411,69
57417,1
57434,13
57436,8
57466,5
57476,7
57480,74
57481,1
57500,7
57501,0
57546,17
57560,81
57571,70
57622,11
57637,64
57651,7
57652,38
57658,9
57661,70
57662,8
