project_ID,NDD,NExR
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
13,0,0
14,0,0
15,0,0
16,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
24,0,0
25,0,0
26,0,0
29,0,0
30,0,0
32,0,0
34,0,0
35,0,0
42,0,0
46,0,0
47,0,0
57,0,0
59,0,0
65,0,0
68,0,0
76,0,0
92,0,0
97,0,0
102,0,0
105,0,0
111,0,0
17375,0,0
17416,0,0
17477,0,0
17485,0,0
17487,0,0
17537,0,0
17548,0,0
17648,0,0
17884,0,0
17896,0,0
17990,0,0
18014,0,0
18045,0,0
18149,0,0
18230,0,0
18237,0,0
19007,0,0
19027,0,0
19079,0,0
19226,0,0
19235,0,0
19236,0,0
19237,0,0
19243,0,0
19257,0,0
19259,0,0
19261,0,0
19262,0,0
19341,0,0
19343,0,0
19349,0,0
19369,0,0
19382,0,0
19577,0,0
19755,0,0
19756,0,0
19839,0,0
19841,0,0
19866,0,0
19872,0,0
19878,0,0
20142,0,0
20180,0,0
20220,0,0
20368,0,0
20375,0,0
20382,0,0
20533,0,0
20535,0,0
20548,0,0
20588,0,0
20687,0,0
20786,0,0
20792,0,0
20860,0,0
20863,0,0
20868,0,0
20944,0,0
21128,0,0
21163,0,0
21176,0,0
21221,0,0
21329,0,0
21428,0,0
21442,0,0
21445,0,0
21609,0,0
21662,0,0
21707,0,0
21781,0,0
21839,0,0
21858,0,0
21880,0,0
21884,0,0
21949,0,0
21959,0,0
21966,0,0
21994,0,0
22007,0,0
22050,0,0
22088,0,0
22104,0,0
22191,0,0
22194,0,0
22220,0,0
22224,0,0
22272,0,0
22316,0,0
22318,0,0
22320,0,0
22367,0,0
22383,0,0
22390,0,0
22440,0,0
22610,0,0
22649,0,0
22766,0,0
22859,0,0
22996,0,0
23028,0,0
23040,0,0
23043,0,0
23094,0,0
23131,0,0
23143,0,0
23155,0,0
23162,0,0
23215,0,0
23218,0,0
23274,0,0
23276,0,0
23282,0,0
23286,0,0
23306,0,0
23333,0,0
23847,0,0
23884,0,0
23903,0,0
23933,0,0
23969,0,0
24037,3,5
24052,0,0
24053,0,0
24157,0,0
24179,0,0
24208,0,0
24271,0,0
24272,0,0
24289,0,0
24315,0,0
24321,0,0
24341,0,0
24344,0,0
24422,0,0
24447,0,0
24475,0,0
24487,0,0
24528,0,0
24529,0,0
24551,0,0
24592,0,0
24594,0,0
24596,0,0
24597,0,0
24600,0,0
24603,0,0
24604,0,0
24622,0,0
24638,0,0
24641,0,0
24647,0,0
24649,0,0
24661,0,0
24692,0,0
24697,0,0
24700,0,0
24701,0,0
24710,0,0
24754,0,0
24798,0,0
24806,0,0
24813,0,0
24834,0,0
24840,0,0
24848,0,0
24881,0,0
24897,0,0
24901,0,0
24950,0,0
24959,0,0
25005,0,0
25015,0,0
25043,0,0
25120,0,0
25132,0,0
25166,0,0
