project_ID,WOMD
17990,8
18014,63
18045,3
18149,8
18230,3
18237,3
19079,6
19349,110
19382,110
19839,110
19878,7
20687,2
20786,341
21442,6
21662,37
21959,188
22367,590
23162,1055
23333,43
24421,3520
24422,933
24754,19
24901,11
26641,188
26695,1055
27074,169
27189,8
27369,257
27421,221
28000,10
28602,61
28920,6
28981,1120
29004,1516
29302,61
29780,232
29875,86
30036,86
30071,2
30139,999
30219,0
30650,4
30980,6
31263,140
31298,140
31367,20
31510,306
31559,18
31590,18
31736,44
31742,27
31754,44
31938,1120
32102,10
32123,11
32246,17
32453,1120
32670,1120
32841,389
33097,63
33150,104
33159,85
33318,233
33326,176
33607,105
33830,87
33888,1528
34024,1528
34084,755
34134,176
34399,412
34413,176
34614,176
34654,1528
34675,6
34821,895
34839,176
35022,176
35059,119
35070,85
35163,352
35169,460
35180,536
35249,751
35252,118
35287,95
35311,26
35348,5
35403,108
35437,6
35451,176
35466,15
35470,38
35550,95
35755,59
35786,33
35830,590
35994,176
36085,751
36106,45
36216,416
36219,176
36267,86
36298,240
36448,11
36526,106
36553,1177
36836,38
36977,2
37042,500
37197,25
37247,5
37325,110
37369,33
37439,126
37566,668
37601,460
37658,23
37660,751
37811,73
37972,1055
38113,81
38160,1078
38173,32
38758,515
39019,1055
39137,347
39239,1516
39590,120
39694,5
39721,48
39743,176
39785,176
39852,346
39906,1055
39907,106
39928,86
39950,176
39960,92
40018,176
40105,176
40123,1516
40208,464
40223,939
40353,464
40359,176
40366,464
40412,13
40418,16
40533,176
40767,106
40778,460
40991,176
41016,176
41028,142
41077,176
41186,176
41246,352
41291,176
41332,176
41336,176
41390,95
41454,176
41455,176
41527,35
41557,4
41567,95
41657,176
41677,148
42702,176
42721,176
42723,95
42763,176
42777,95
42867,95
42900,176
42924,176
42930,176
43097,176
43187,176
43332,176
43348,176
43368,176
43474,10
43543,176
43546,176
43638,536
43639,416
43646,190
43712,231
43959,755
44045,7
44106,95
44114,95
44348,116
44435,352
44448,111
44474,95
44543,8
44700,327
44738,20
44740,751
44749,1120
44984,148
45089,54
45103,176
45231,16
45232,95
45271,176
45307,71
45500,87
45640,163
45645,5
45718,119
45911,14
45917,791
45932,1055
45948,14
46029,100
46036,95
46062,83
46168,7
46422,151
46613,9
46740,95
46859,7
46948,377
46962,176
46980,68
47005,517
47325,468
47330,119
47355,71
47652,460
47680,183
47688,939
47806,264
47948,439
48006,279
48102,217
48346,4
48587,34
48679,189
48839,336
48852,595
48893,485
49023,1516
49181,202
49369,106
49603,114
49724,201
49739,63
49772,797
49810,176
49951,191
50321,1055
50440,502
50443,647
50493,895
50579,1516
50672,1516
50725,256
50820,353
50868,3
51037,695
51061,1516
51110,57
51176,55
51225,104
51226,104
51238,486
51314,64
51443,86
51491,43
51535,460
51543,460
51670,86
51681,167
51777,302
51850,26
51949,86
51998,176
52206,9
52290,83
52414,790
52551,741
52647,1138
52741,176
52910,176
52960,86
53102,592
53209,151
53215,100
53217,100
53445,336
53548,12
53565,256
53570,331
53732,172
53816,37
53823,50
53870,206
53873,50
53998,123
54002,939
54275,123
54439,84
54484,653
54801,1
55351,57
55526,21
55546,100
55560,249
55595,2
55660,113
55689,42
55847,219
55882,249
55885,176
55917,1327
55926,6
55941,42
55966,100
56015,249
56137,249
56246,86
56356,1132
56381,5
56416,56
56430,14
56533,239
56555,249
56785,136
56890,176
56903,84
57112,10
57202,232
57411,334
57480,1516
57501,90
57560,1372
57571,1516
57652,131
57661,279
57666,279
57682,279
57728,45
57737,192
57809,195
57886,106
57937,92
58045,192
58089,628
58140,1327
58182,6
58285,713
58318,3
58378,64
58657,192
58878,279
58886,1525
59238,612
59276,478
59302,612
59416,250
59444,25
59469,495
59613,412
59669,190
59778,105
60018,3
60087,71
60101,115
60112,126
60141,9
60219,21
60330,106
60402,4
60409,15
60428,869
60490,147
60527,232
60535,95
60594,904
60671,29
60785,2
60863,49
60934,1516
61000,6
61028,5
61090,68
61092,232
61114,232
61163,30
61186,1548
61190,1516
61217,1024
61220,1071
61222,957
61262,847
61277,1343
61391,62
61432,57
61493,23
61541,157
61597,11
61689,56
61691,279
61732,1516
61758,176
61789,1516
61862,34
61868,7
61873,427
61947,332
61985,1121
62054,65
62067,1026
62150,36
62161,90
62199,1516
62220,1516
62250,67
62272,459
62279,71
62300,362
62358,1516
62382,1516
62385,71
62387,80
62398,90
62424,279
62431,6
62432,433
62507,84
62528,1525
62587,187
62598,60
62690,667
62730,22
62745,171
62794,147
62860,1998
62868,12
62890,272
62906,540
62969,60
62996,288
62999,667
63038,59
63103,176
63146,1047
63172,176
63205,171
63226,171
63251,136
63294,148
63315,291
63363,81
63398,309
63468,192
63481,48
63505,7
63510,42
63522,397
63525,281
63549,75
63567,92
63591,19
63639,131
63671,612
63729,394
63746,667
63751,141
63779,11
63903,1516
63930,279
63932,55
63938,1516
63961,177
63980,207
64027,103
64083,281
64087,207
64181,1525
64198,96
64199,64
64247,84
64358,667
64451,73
64506,7
64535,211
64566,35
64590,24
64599,736
64612,10
64696,872
64703,145
64771,106
64828,273
64839,190
64889,272
64909,397
64943,751
64961,696
65008,81
65017,95
65060,15
65229,397
65231,231
65348,24
65357,232
65376,176
65395,10
65399,160
65453,478
65464,137
65502,612
65628,58
65668,221
65725,425
65832,41
65900,176
65930,1516
65963,8
66029,3
66108,232
66383,115
66419,196
66445,63
66537,101
66676,272
66702,381
66722,1525
66752,135
66819,62
66828,176
66940,41
66993,667
67061,171
67066,188
67073,232
67148,1490
67315,176
67337,200
67399,24
67421,217
67439,1525
67673,355
67678,1047
67789,200
67830,2
68049,225
68115,312
68129,6
68142,6
68156,15
68167,200
68231,2
68362,68
68416,12
68460,11
68523,29
68632,160
68634,935
68664,26
68719,8
68826,147
69227,1145
69318,1
69418,334
69443,116
69522,176
69542,272
69600,464
69611,30
69725,1516
69782,272
69804,29
69812,12
69872,334
69896,334
70056,39
70092,169
70217,192
70293,328
70308,229
70428,11
70593,285
70607,171
70713,78
70758,847
70955,515
71011,1868
71027,680
71041,1177
71058,33
71285,11
71375,909
71492,76
71500,38
71535,77
71550,291
71625,18
71633,61
71640,285
71711,449
71778,176
71830,268
71865,39
71950,104
71977,23
72054,186
72146,103
72152,748
72290,7
72324,20
72382,393
72415,11
72521,1525
72555,452
72573,552
72883,104
72946,1055
72986,408
73045,1132
73056,1
73143,11
73207,272
73287,106
73358,279
73470,23
73535,662
73751,12
73798,207
73931,269
73992,348
73997,127
74042,30
74156,29
74173,131
74465,37
74571,176
74645,285
74714,61
74721,33
74804,228
74858,893
75187,200
75195,265
75203,348
75287,75
75452,176
75485,271
75813,112
75877,39
75932,348
75933,478
75998,684
76090,16
76108,602
76167,468
76235,115
76315,25
76319,106
76342,587
76522,84
76614,243
76656,60
76703,273
76796,84
76853,254
76930,2
77121,285
77135,894
77209,23
77214,163
77220,46
77289,524
77320,893
77321,669
77442,24
77678,20
77764,189
77803,38
77808,108
77909,17
77911,6
77947,54
77978,27
77994,271
78000,660
78039,39
78054,9
78069,220
78150,195
78246,6
78310,9
78313,4
78323,200
78350,29
78419,9
78451,1269
78453,9
78454,9
78456,9
78457,9
78461,9
78582,280
78596,218
78600,271
78605,76
78615,101
78723,972
78757,7
78801,9
78821,9
78856,9
78876,9
78881,9
78882,9
78894,467
78896,326
78897,176
78939,9
78948,9
78949,99
79004,9
79082,9
79088,39
79120,79
79165,147
79217,106
79280,192
79298,106
79358,8
79373,29
79393,480
79451,399
79464,488
79519,3055
79550,135
79553,176
79586,9
79669,189
79671,189
79717,217
79740,206
79782,480
79889,397
79898,19
79910,427
79928,9
79931,9
80048,336
80080,9
80085,9
80124,243
80195,176
80306,16
80380,480
80443,191
80452,9
80528,9
80788,3
80799,101
80899,7
80902,9
80947,30
80956,1786
81026,240
81038,176
81045,204
81075,477
81095,480
81101,63
81149,176
81225,299
81241,292
81306,51
81312,176
81338,176
81369,176
81406,176
81500,8
81775,736
81819,1337
81821,176
81827,623
81844,22
81883,176
81918,480
81943,57
82001,4
82012,5
82033,272
82039,1055
82086,80
82091,176
82094,176
82098,147
82147,480
82188,483
82271,25
82294,9
82458,95
82491,176
82641,263
82701,240
82742,47
82754,175
82806,176
82827,396
82836,95
82839,875
83854,109
83967,176
83971,40
84016,399
84026,480
84082,175
84123,30
84388,352
84437,1372
84442,257
84474,328
84506,73
84533,176
84599,807
84610,95
84654,2
84656,1234
84694,2
84711,176
84834,163
84887,486
84933,49
84961,26
84966,1372
85145,62
85207,4
85219,176
85270,1172
85327,59
85450,462
85457,960
85485,176
85570,78
85595,480
85630,352
85666,1516
85686,176
85723,562
85728,53
85729,176
85759,4
85812,285
85832,176
85847,176
85849,176
85913,176
85950,176
85994,480
86012,121
86021,20
86042,584
86123,189
86142,176
86183,50
86186,50
86207,232
86208,232
86210,56
86216,176
86221,460
86224,460
86228,584
86249,176
86252,389
86264,104
86284,734
86293,161
86307,460
86315,448
86322,480
86326,189
86334,464
86335,584
86340,50
86352,176
86372,176
86426,1516
86443,101
86455,29
86462,55
86469,204
86470,204
86501,480
86503,25
86504,25
86566,1271
86569,176
86582,62
86622,176
86718,862
86749,39
86762,189
86805,6
86840,734
86851,1427
86877,50
86901,584
86962,189
87032,176
87087,1055
87096,2547
87112,19
87116,584
87150,2
87157,8
87176,58
87185,72
87191,3
87203,584
87253,176
87276,5
87277,176
87284,584
87287,5
87300,331
87328,24
87334,157
87337,584
87344,176
87350,176
87372,133
87392,189
87394,189
87403,119
87407,480
87441,584
87462,1516
87482,16
87485,13
87491,153
87528,176
87586,56
87590,480
87591,176
87632,176
87634,176
87651,176
87664,176
87696,6
87721,1516
87763,1
87802,480
87844,535
87879,176
87885,293
87896,176
87937,70
87942,176
87955,3
87962,584
87980,45
87986,189
88034,326
88062,5
88105,20
88136,263
88177,1304
88211,1516
88229,840
88256,583
88295,3
88310,29
88313,222
88327,1
88351,1516
88387,918
88390,186
88396,480
88404,176
88409,257
88417,189
88454,176
88461,480
88462,480
88477,767
88478,720
88483,51
88548,62
88554,160
88598,439
88618,77
88620,176
88637,480
88664,480
88716,847
88721,30
88733,176
88746,34
88758,341
88772,122
88773,147
88835,488
88863,176
88874,480
88900,480
88903,176
88927,95
88931,1
88937,176
88956,13
89014,3
89026,480
89056,176
89077,358
89141,176
89142,176
89146,176
89183,2
89261,189
89410,62
89433,4
89434,110
89500,176
89518,279
89539,4
