project_ID,BLOC
17375,0
17416,0
17477,0
17485,1
17487,0
17548,0
17648,0
17884,0
17896,0
17990,0
18014,1
18045,0
18149,0
18230,0
18237,0
19007,0
19027,0
19079,0
19226,0
19235,0
19236,0
19237,0
19243,0
19257,0
19259,0
19261,0
19262,0
19341,0
19343,0
19349,1
19369,0
19382,1
19577,0
19755,0
19756,0
19839,1
19841,0
19866,0
19872,0
19878,0
20142,3
20180,0
20220,0
20368,0
20375,0
20382,4
20533,1
20535,27
20548,2
20588,19
20687,1
20786,59
20792,0
20860,0
20863,1
20868,0
20944,12
21128,0
21163,0
21176,0
21221,0
21329,19
21428,0
21442,0
21445,6
21662,0
21707,0
21781,0
21839,0
21858,1
21880,0
21884,0
21949,0
21959,14
21966,0
21994,1
22007,3
22050,7
22088,0
22104,0
22191,6
22194,6
22220,2
22224,31
22272,0
22316,5
22318,12
22320,26
22367,19
22383,2
22390,26
22440,0
22610,2
22649,0
22766,12
22859,0
23028,11
23040,5
23043,2
23094,15
23131,4
23143,0
23155,3
23162,13
23215,2
23218,2
23274,6
23282,0
23286,2
23306,31
23333,4
23847,7
23884,6
23903,0
23933,1
23969,8
24037,73
24052,20
24053,3
24157,0
24179,0
24208,32
24271,18
24272,2
24289,4
24315,84
24321,4
24341,5
24344,4
24422,19
24447,2
24475,2
24487,16
24528,0
24529,2
24551,2
24592,0
24594,1
24596,0
24597,2
24600,2
24603,2
24604,2
24622,2
24638,0
24641,2
24647,22
24649,3
24661,34
24692,1
24697,4
24700,4
24710,4
24754,0
24806,3
24813,4
24840,6
24848,25
24881,3
24897,4
24901,1
24950,2
24959,0
25005,0
25015,5
25043,2
25120,2
25132,2
25166,11
25189,4
25221,1
25284,24
25316,2
25318,2
25320,2
25321,8
25337,2
25416,3
25417,2
25419,2
25432,4
25507,2
25604,30
25606,2
25619,0
25625,5
25654,4
25660,3
25662,0
25681,1
25686,16
25721,2
25757,2
25766,2
25771,0
25814,10
25825,2
25826,2
25901,2
25950,17
25961,0
25962,0
25965,4
25978,4
25988,8
25997,5
26211,4
26227,2
26251,14
26331,84
26389,2
26455,3
26456,6
26504,3
26527,4
26641,14
26645,2
26658,20
26695,13
26705,4
26706,15
26724,2
26765,17
26839,63
26867,2
26876,32
26918,3
26960,3
26969,2
26970,0
26994,5
27016,0
27027,0
27051,0
27074,0
27092,0
27155,11
27189,1
27260,41
27269,0
27270,0
27301,0
27320,0
27326,2
27349,16
27368,2
27369,6
27386,4
27393,30
27421,0
27514,2
27550,4
27588,2
27602,5
27635,24
27667,2
27670,0
27682,2
27810,0
27846,63
27858,63
27968,3
28000,0
28055,5
28071,22
28113,51
28138,0
28159,0
28187,4
28194,3
28250,2
28253,22
28271,64
28301,2
28394,72
28399,2
28437,2
28438,75
28481,3
28498,2
28562,13
28598,2
28602,7
28615,31
28617,0
28625,0
28665,0
28722,4
28737,2
28772,2
28815,5
28820,0
28840,3
28857,0
28861,4
28877,4
28880,2
28884,0
28887,9
28890,3
28919,13
28932,0
28942,6
28952,0
28955,0
28981,18
28990,14
28998,0
29004,56
29009,4
29032,0
29063,0
29094,4
29140,6
29218,5
29283,1
29286,0
29302,7
29332,19
29352,3
29356,5
29361,4
29367,3
29373,3
29377,15
29397,2
29400,48
29408,4
29411,5
29414,0
29420,10
29429,3
29458,0
29479,4
29517,10
29599,22
29614,0
29639,0
29656,5
29685,16
29721,109
29769,4
29780,18
29783,3
29800,8
29875,53
29903,2
29936,1
29964,3
29981,2
30036,49
30079,23
30081,69
30087,21
30139,16
30153,7
30170,4
30219,0
30234,0
30260,4
30348,7
30403,42
30409,15
30410,8
30473,4
30474,2
30502,3
30515,3
30524,0
30537,1
30560,14
30579,0
30586,5
30607,0
30644,4
30650,1
30671,4
30745,10
30751,1
30776,6
30782,6
30832,2
30896,2
30910,3
30937,4
30939,0
30961,1
30965,9
30980,4
30982,6
31040,0
31054,0
31085,0
31086,3
31092,66
31113,7
31170,2
31171,2
31174,5
31187,9
31194,6
31195,10
31222,13
31233,12
31254,2
31259,2
31263,24
31281,4
31298,22
31300,0
31302,0
31312,4
31362,2
31367,0
31412,0
31420,11
31442,2
31445,0
31470,5
31477,4
31488,4
31510,2
31531,0
31556,12
31559,12
31568,0
31590,12
31649,9
31673,4
31686,4
31715,9
31726,0
31727,0
31736,7
31742,6
31754,4
31786,21
31801,6
31816,2
31857,3
31880,1
31911,7
31931,12
31936,4
31938,18
31951,4
32005,8
32026,84
32033,62
32061,2
32062,2
32081,4
32097,4
32102,1
32123,31
32174,2
32182,2
32183,0
32192,1
32195,4
32244,0
32246,4
32250,2
32260,0
32275,13
32362,4
32364,4
32394,4
32396,4
32435,1
32451,5
32453,18
32459,2
32462,15
32467,15
32487,2
32505,2
32551,4
32554,29
32574,27
32599,6
32650,4
32653,0
32670,17
32688,12
32702,0
32704,4
32717,30
32735,2
32750,0
32796,19
32825,7
32841,3
32868,1
32876,6
32885,0
32924,6
32926,2
32944,1
32953,7
32969,2
33014,0
33018,1
33021,4
33041,4
33097,0
33138,1
33140,0
33150,23
33155,0
33159,1
33183,2
33189,3
33193,2
33236,4
33303,0
33311,3
33318,8
33325,4
33326,4
33351,5
33373,19
33462,5
33499,4
33506,4
33517,4
33540,2
33607,8
33696,1
33703,2
33775,4
33790,4
33819,26
33830,41
33844,28
33858,4
33873,22
33885,4
33888,45
33915,4
33922,10
33986,7
34024,53
34076,11
34084,22
34122,4
34134,4
34140,4
34158,15
34207,4
34235,11
34242,56
34260,4
34311,6
34316,4
34342,4
34349,0
34352,5
34380,60
34399,5
34413,4
34439,5
34443,4
34444,18
34454,9
34469,0
34498,3
34519,5
34564,4
34614,4
34624,4
34638,4
34646,4
34654,52
34659,4
34667,6
34675,6
34698,4
34717,12
34791,4
34796,4
34806,9
34813,4
34821,19
34839,4
34881,4
34888,4
34954,10
34956,5
34971,5
34973,4
34978,4
34982,4
34986,4
34991,4
35022,4
35029,0
35042,4
35043,4
35059,24
35063,4
35070,19
35073,4
35096,3
35158,4
35163,4
35169,20
35178,14
35180,14
35184,7
35186,4
35231,23
35245,4
35247,39
35249,1
35252,3
35255,29
35264,22
35269,7
35286,0
35287,8
35311,10
35319,0
35325,0
35348,8
35355,0
35363,4
35388,4
35394,19
35403,0
35437,8
35451,4
35466,18
35470,0
35472,4
35545,5
35550,4
35551,5
35552,11
35598,24
35618,4
35755,21
35779,23
35786,12
35804,29
35830,20
35835,4
35837,4
35888,35
35890,33
35891,5
35922,13
35948,4
35966,5
35983,4
35994,4
36041,4
36046,4
36085,0
36106,6
36134,4
36135,6
36154,5
36176,14
36178,13
36195,4
36216,14
36219,5
36229,4
36267,9
36298,8
36333,10
36376,4
36379,4
36448,31
36577,4
36592,6
36618,13
36644,4
36693,5
36700,1
36701,0
36711,4
36739,4
36764,6
36789,23
36812,9
36814,22
36836,0
36843,1
36864,4
36873,4
36905,5
36937,3
36955,6
36977,1
36984,2
36985,5
36993,4
36998,15
37038,6
37040,4
37042,17
37096,4
37197,16
37231,3
37247,5
37287,32
37317,4
37325,1
37326,40
37346,15
37354,1
37369,70
37386,7
37406,1
37439,41
37467,4
37481,4
37491,4
37498,4
37517,0
37519,19
37566,3
37575,4
37601,20
37607,2
37608,55
37610,0
37611,0
37612,7
37658,8
37660,4
37672,7
37714,9
37719,2
37728,10
37811,19
37840,3
37875,43
37910,2
37925,13
37935,7
37943,12
37972,13
37985,4
37986,5
38010,30
38082,13
38113,5
38153,71
38160,15
38173,83
38256,2
38262,4
38266,2
38282,44
38324,2
38332,9
38412,101
38456,4
38466,4
38496,6
38526,14
38527,7
38579,4
38670,4
38671,4
38697,7
38729,4
38744,7
38745,4
38758,36
38808,4
38816,4
38821,3
38822,4
38902,27
38913,4
38968,4
39012,6
39019,13
39107,4
39112,17
39137,35
39160,5
39161,4
39166,4
39169,5
39188,0
39236,4
39239,54
39251,2
39286,0
39296,24
39359,24
39367,4
39378,5
39484,4
39486,0
39568,4
39590,4
39599,1
39639,4
39653,4
39668,7
39694,5
39721,0
39733,4
39743,4
39766,9
39776,30
39780,4
39785,1
39797,4
39852,10
39879,4
39883,6
39906,13
39916,4
39924,45
39928,7
39940,18
39950,0
39960,3
39962,7
39963,13
39968,4
39990,4
40018,6
40021,10
40038,28
40047,5
40051,14
40100,4
40105,0
40107,4
40123,56
40208,10
40223,14
40255,4
40272,0
40286,36
40353,16
40359,0
40366,21
40386,3
40390,4
40393,1
40404,0
40412,5
40417,90
40418,2
40462,17
40484,8
40533,9
40560,5
40576,11
40589,4
40591,4
40615,4
40616,4
40635,8
40652,10
40723,6
40767,0
40770,9
40778,10
40785,0
40833,4
40839,5
40840,4
40911,21
40991,4
41016,4
41028,4
41077,4
41186,4
41216,4
41239,4
41246,4
41274,5
41284,4
41285,6
41286,1
41291,4
41332,4
41336,4
41386,5
41390,4
41454,6
41455,4
41468,5
41527,28
41557,4
41567,11
41624,18
41657,5
41677,12
41688,15
42702,4
42721,4
42723,8
42735,4
42763,0
42777,8
42867,8
42895,4
42900,4
42909,4
42916,4
42924,3
42930,5
42933,7
42934,4
42965,4
42985,4
43030,11
43053,4
43057,4
43060,10
43097,5
43106,4
43161,12
43169,19
43187,6
43193,5
43232,4
43237,1
43251,4
43274,4
43320,5
43332,5
43348,4
43368,5
43419,4
43424,4
43474,4
43487,5
43524,4
43531,7
43543,4
43546,4
43608,12
43638,14
43639,22
43646,0
43698,4
43712,7
43716,0
43718,1
43719,75
43762,4
43789,11
43797,8
43868,4
43870,5
43873,0
43905,4
43907,4
43930,8
43959,12
44032,20
44045,10
44072,4
44106,8
44114,4
44125,3
44159,4
44260,9
44265,17
44337,8
44347,6
44348,4
44351,4
44352,13
44422,6
44435,23
44448,1
44452,4
44454,4
44474,6
44491,0
44497,27
44519,5
44543,4
44551,7
44565,4
44631,15
44662,4
44683,7
44684,5
44689,4
44700,5
44738,0
44740,6
44749,20
44790,6
44791,13
44840,73
44855,4
44984,12
45025,4
45089,44
45101,4
45103,5
45122,10
45231,4
45232,5
45247,9
45271,5
45281,4
45295,4
45298,1
45307,0
45337,7
45445,12
45455,24
45464,8
45468,27
45474,1
45485,6
45500,10
45536,4
45541,4
45614,4
45630,41
45640,20
45645,4
45656,4
45662,4
45677,35
45718,0
45736,16
45745,16
45746,2
45748,6
45757,7
45766,8
45802,6
45815,6
45828,17
45857,7
45870,15
45878,18
45890,31
45911,1
45917,10
45932,13
45948,11
45988,6
46023,4
46029,7
46036,8
46041,0
46044,7
46051,21
46062,77
46074,4
46079,4
46094,8
46125,0
46143,6
46168,1
46216,0
46298,11
46304,4
46313,22
46372,4
46389,4
46406,2
46409,20
46419,12
46422,0
46427,4
46465,4
46466,1
46485,5
46505,0
46527,4
46549,4
46564,13
46613,19
46632,6
46647,4
46669,8
46671,48
46740,4
46763,22
46765,4
46767,7
46780,7
46837,4
46859,3
46861,4
46925,4
46936,26
46948,6
46952,93
46960,4
46962,0
46980,11
46981,19
46985,17
47005,37
47031,4
47062,4
47177,22
47236,4
47241,6
47249,4
47252,4
47258,11
47296,30
47325,35
47330,0
47355,40
47465,2
47482,4
47483,12
47523,4
47532,4
47554,21
47555,0
47560,10
47561,4
47598,6
47614,6
47637,5
47644,30
47650,6
47652,20
47678,14
47680,18
47688,16
47705,22
47715,4
47724,8
47750,12
47751,6
47806,6
47811,4
47813,4
47824,3
47899,73
47903,4
47913,5
47931,0
47948,4
47958,4
47961,6
48006,16
48013,15
48015,2
48036,5
48102,8
48142,0
48144,4
48153,4
48183,10
48276,6
48307,22
48309,4
48344,26
48346,8
48357,0
48390,5
48397,8
48415,6
48541,6
48564,4
48583,4
48587,0
48593,0
48604,4
48638,4
48655,4
48674,4
48676,6
48679,7
48711,5
48774,4
48794,22
48818,26
48839,1
48852,32
48865,1
48893,66
48913,4
48964,14
48988,4
48999,4
49001,4
49009,2
49023,58
49039,0
49078,11
49106,12
49134,5
49162,4
49181,8
49185,4
49192,19
49206,13
49216,7
49298,4
49311,2
49327,25
49369,0
49396,0
49397,2
49404,12
49405,2
49536,4
49555,6
49569,2
49588,259
49590,4
49591,29
49603,18
49631,4
49637,4
49685,22
49724,2
49739,24
49772,51
49791,4
49794,4
49810,4
49919,4
49951,3
49966,4
49974,5
50009,6
50012,1
50013,5
50058,5
50062,14
50073,31
50160,11
50177,4
50190,4
50253,5
50321,13
50327,4
50376,4
50421,5
50440,38
50443,7
50470,28
50493,16
50514,5
50521,4
50530,14
50534,3
50570,4
50579,65
50592,5
50594,187
50644,4
50672,56
50687,8
50693,4
50725,10
50726,10
50775,14
50784,15
50787,4
50795,4
50817,6
50820,0
50868,2
50875,0
50935,6
51002,8
51019,6
51037,37
51042,9
51061,56
51108,11
51110,8
51147,4
51174,4
51176,10
51181,4
51208,0
51225,5
51226,13
51238,0
51261,12
51282,0
51300,22
51314,23
51365,4
51378,0
51386,3
51443,33
51466,15
51469,4
51491,8
51510,1
51513,0
51535,10
51543,20
51608,5
51634,6
51663,5
51670,34
51681,14
51740,42
51777,5
51796,8
51850,12
51949,33
51980,25
51998,6
52016,4
52056,3
52058,5
52080,72
52107,4
52176,4
52187,6
52195,27
52206,30
52223,4
52229,19
52233,4
52238,6
52252,11
52254,13
52290,33
52367,5
52404,27
52414,18
52457,4
52458,4
52466,16
52541,4
52551,10
52557,5
52589,22
52594,6
52630,8
52638,4
52647,66
52648,0
52650,14
52661,4
52671,16
52722,5
52723,5
52731,7
52741,4
52767,0
52833,9
52862,4
52910,4
52913,4
52959,4
52960,33
52983,169
53050,30
53071,5
53102,21
53123,4
53127,21
53136,4
53147,1
53196,4
53200,1
53209,0
53215,7
53217,7
53229,22
53248,6
53271,4
53275,4
53302,50
53306,7
53326,5
53390,23
53445,0
53528,9
53531,10
53548,26
53549,12
53565,20
53570,39
53571,3
53585,4
53587,2
53598,4
53600,7
53662,4
53663,7
53667,28
53676,4
53732,57
53816,16
53823,10
53830,4
53834,20
53845,14
53870,5
53873,16
53876,4
53884,8
53911,4
53946,4
53990,7
53993,35
53998,9
54002,14
54058,8
54159,14
54210,4
54244,9
54257,6
54275,9
54282,11
54296,0
54303,0
54334,14
54360,4
54375,4
54417,17
54421,2
54439,13
54443,77
54444,4
54495,4
54506,4
54528,3
54533,11
54547,6
54566,4
54580,4
54582,5
54585,4
54586,4
54626,3
54653,8
54667,15
54795,10
54801,16
54866,4
54881,19
54897,1
54938,21
54995,3
55014,73
55017,19
55019,0
55022,6
55028,4
55062,38
55077,12
55082,4
55121,3
55151,12
55167,0
55179,4
55229,5
55250,7
55346,0
55351,8
55357,4
55361,4
55370,6
55382,2
55398,18
55422,12
55475,4
55508,28
55511,4
55526,10
55535,14
55546,11
55560,8
55593,4
55595,13
55601,0
55646,190
55649,24
55660,26
55689,6
55718,7
55719,4
55772,4
55800,17
55817,1
55827,5
55839,4
55882,12
55885,4
55917,56
55920,4
55926,9
55941,0
55966,11
55994,25
55999,4
56012,4
56015,12
56027,29
56064,17
56107,4
56136,4
56137,9
56144,4
56153,4
56154,3
56159,0
56168,3
56221,11
56245,11
56246,33
56303,26
56336,5
56356,33
56381,3
56416,21
56430,11
56477,5
56485,4
56487,3
56533,11
56555,9
56574,4
56594,0
56672,12
56685,4
56699,4
56702,7
56733,25
56738,26
56741,14
56785,58
56830,4
56858,4
56882,12
56890,4
56903,15
56923,4
56951,4
56974,3
56975,5
56988,10
56990,4
57030,4
57034,11
57072,4
57108,6
57112,6
57159,14
57201,5
57202,4
57206,53
57238,33
57240,13
57255,0
57305,4
57384,4
57394,2
57411,16
57417,15
57434,6
57436,4
57466,2
57476,4
57480,59
57481,0
57500,4
57501,6
57546,5
57560,59
57571,56
57622,16
57637,9
57651,4
57652,10
57658,5
57661,16
57662,6
