project_ID,BLOMD
17990,0
18014,4
18045,0
18149,0
18230,0
18237,0
19079,0
19349,1
19382,1
19839,1
19878,0
20687,0
20786,8
21442,0
21662,0
21959,2
22367,8
23162,10
23333,2
24421,271
24422,1
24754,0
24901,0
26641,2
26695,10
27074,3
27189,0
27369,7
27421,1
28000,0
28602,2
28920,0
28981,9
29004,23
29302,2
29780,24
29875,1
30036,1
30071,0
30139,7
30219,0
30650,0
30980,0
31263,2
31298,2
31367,0
31510,0
31559,0
31590,0
31736,2
31742,0
31754,0
31938,9
32102,0
32123,0
32246,0
32453,9
32670,9
32841,9
33097,1
33150,4
33159,0
33318,0
33326,6
33607,0
33830,0
33888,24
34024,24
34084,18
34134,6
34399,13
34413,6
34614,6
34654,24
34675,0
34821,10
34839,6
35022,6
35059,0
35070,4
35163,12
35169,11
35180,14
35249,3
35252,3
35287,3
35311,1
35348,0
35403,1
35437,0
35451,6
35466,0
35470,1
35550,3
35755,0
35786,0
35830,8
35994,6
36085,3
36106,1
36216,12
36219,6
36267,0
36298,2
36448,0
36526,4
36553,54
36836,1
36977,0
37042,12
37197,0
37247,0
37325,1
37369,3
37439,4
37566,15
37601,11
37658,0
37660,3
37811,3
37972,10
38113,2
38160,28
38173,1
38758,14
39019,10
39137,17
39239,23
39590,2
39694,1
39721,2
39743,6
39785,6
39852,4
39906,10
39907,4
39928,0
39950,6
39960,4
40018,6
40105,6
40123,23
40208,11
40223,11
40353,11
40359,6
40366,11
40412,0
40418,0
40533,6
40767,4
40778,11
40991,6
41016,6
41028,5
41077,6
41186,6
41246,12
41291,6
41332,6
41336,6
41390,3
41454,6
41455,6
41527,0
41557,0
41567,3
41657,6
41677,3
42702,6
42721,6
42723,3
42763,6
42777,3
42867,3
42900,6
42924,6
42930,6
43097,6
43187,6
43332,6
43348,6
43368,6
43474,0
43543,6
43546,6
43638,14
43639,12
43646,6
43712,2
43959,3
44045,0
44106,3
44114,3
44348,3
44435,19
44448,1
44474,3
44543,0
44700,1
44738,0
44740,3
44749,9
44984,3
45089,0
45103,6
45231,0
45232,3
45271,6
45307,2
45500,3
45640,4
45645,0
45718,0
45911,0
45917,9
45932,10
45948,0
46029,0
46036,3
46062,1
46168,1
46422,4
46613,0
46740,3
46859,1
46948,1
46962,6
46980,4
47005,14
47325,10
47330,0
47355,1
47652,11
47680,5
47688,11
47806,9
47948,9
48006,3
48102,1
48346,0
48587,1
48679,3
48839,0
48852,12
48893,6
49023,23
49181,1
49369,0
49603,0
49724,4
49739,1
49772,20
49810,6
49951,5
50321,10
50440,8
50443,13
50493,10
50579,23
50672,23
50725,0
50820,8
50868,0
51037,25
51061,23
51110,0
51176,0
51225,0
51226,0
51238,6
51314,0
51443,0
51491,2
51535,11
51543,11
51670,0
51681,10
51777,0
51850,3
51949,0
51998,6
52206,0
52290,0
52414,12
52551,7
52647,19
52741,6
52910,6
52960,0
53102,21
53209,4
53215,0
53217,0
53445,0
53548,0
53565,5
53570,17
53732,6
53816,0
53823,1
53870,6
53873,1
53998,0
54002,11
54275,0
54439,1
54484,29
54801,0
55351,0
55526,0
55546,3
55560,3
55595,0
55660,1
55689,1
55847,10
55882,3
55885,6
55917,17
55926,0
55941,1
55966,3
56015,3
56137,3
56246,0
56356,21
56381,0
56416,0
56430,0
56533,2
56555,3
56785,6
56890,6
56903,1
57112,2
57202,7
57411,3
57480,23
57501,2
57560,17
57571,23
57652,0
57661,3
57666,3
57682,3
57728,1
57737,7
57809,7
57886,4
57937,2
58045,7
58089,2
58140,9
58182,0
58285,18
58318,0
58378,0
58657,7
58878,3
58886,49
59238,7
59276,12
59302,7
59416,5
59444,0
59469,2
59613,13
59669,4
59778,0
60018,0
60087,4
60101,1
60112,4
60141,0
60219,0
60330,4
60402,0
60409,1
60428,5
60490,3
60527,7
60535,1
60594,25
60671,1
60785,0
60863,4
60934,23
61000,0
61028,0
61090,0
61092,7
61114,7
61163,0
61186,18
61190,23
61217,27
61220,27
61222,24
61262,18
61277,66
61391,1
61432,3
61493,0
61541,5
61597,0
61689,0
61691,3
61732,23
61758,6
61789,23
61862,0
61868,0
61873,21
61947,0
61985,31
62054,3
62067,31
62150,0
62161,1
62199,23
62220,23
62250,1
62272,11
62279,0
62300,1
62358,23
62382,24
62385,0
62387,0
62398,1
62424,3
62431,0
62432,5
62507,1
62528,49
62587,0
62598,1
62690,16
62730,1
62745,4
62794,3
62860,72
62868,0
62890,7
62906,13
62969,2
62996,8
62999,16
63038,2
63103,6
63146,46
63172,6
63205,4
63226,4
63251,4
63294,3
63315,0
63363,0
63398,5
63468,2
63481,0
63505,0
63510,0
63522,7
63525,1
63549,0
63567,0
63591,0
63639,2
63671,7
63729,13
63746,16
63751,5
63779,0
63903,23
63930,3
63932,0
63938,23
63961,5
63980,0
64027,4
64083,1
64087,5
64181,49
64198,0
64199,1
64247,1
64358,16
64451,4
64506,0
64535,2
64566,3
64590,1
64599,18
64612,2
64696,10
64703,4
64771,1
64828,9
64839,3
64889,9
64909,7
64943,17
64961,6
65008,3
65017,3
65060,0
65229,7
65231,17
65348,1
65357,7
65376,6
65395,0
65399,2
65453,2
65464,0
65502,6
65628,2
65668,3
65725,6
65832,3
65900,6
65930,23
65963,0
66029,0
66108,7
66383,1
66419,2
66445,1
66537,1
66676,7
66702,11
66722,49
66752,3
66819,1
66828,17
66940,0
66993,16
67061,1
67066,5
67073,7
67148,15
67315,6
67337,7
67399,3
67421,6
67439,49
67673,3
67678,46
67789,7
67830,0
68049,0
68115,0
68129,0
68142,0
68156,0
68167,7
68231,1
68362,1
68416,0
68460,0
68523,1
68632,0
68634,13
68664,1
68719,1
68826,5
69227,6
69318,0
69418,8
69443,3
69522,6
69542,7
69600,14
69611,0
69725,23
69782,7
69804,0
69812,0
69872,8
69896,8
70056,1
70092,0
70217,3
70293,7
70308,5
70428,0
70593,2
70607,4
70713,1
70758,18
70955,6
71011,36
71027,24
71041,6
71058,0
71285,0
71375,2
71492,1
71500,2
71535,3
71550,4
71625,0
71633,0
71640,2
71711,9
71778,6
71830,3
71865,0
71950,3
71977,1
72054,0
72146,2
72152,18
72290,0
72324,0
72382,1
72415,0
72521,49
72555,2
72573,13
72883,3
72946,10
72986,7
73045,21
73056,0
73143,0
73207,7
73287,4
73358,3
73470,3
73535,1
73751,0
73798,8
73931,0
73992,9
73997,1
74042,1
74156,0
74173,2
74465,9
74571,6
74645,2
74714,0
74721,0
74804,0
74858,21
75187,7
75195,3
75203,6
75287,0
75452,6
75485,12
75813,0
75877,0
75932,6
75933,3
75998,4
76090,1
76108,2
76167,11
76235,6
76315,1
76319,4
76342,9
76522,0
76614,7
76656,2
76703,9
76796,2
76853,13
76930,0
77121,2
77135,20
77209,4
77214,0
77220,0
77289,18
77320,21
77321,6
77442,1
77678,0
77764,5
77803,0
77808,0
77909,1
77911,2
77947,0
77978,1
77994,12
78000,24
78039,0
78054,0
78069,11
78150,4
78246,0
78310,0
78313,0
78323,7
78350,0
78419,0
78451,20
78453,0
78454,0
78456,0
78457,0
78461,0
78582,4
78596,9
78600,12
78605,0
78615,4
78723,3
78757,0
78801,0
78821,0
78856,0
78876,0
78881,0
78882,0
78894,0
78896,0
78897,6
78939,0
78948,0
78949,0
79004,0
79082,0
79088,0
79120,0
79165,2
79217,4
79280,0
79298,4
79358,0
79373,0
79393,18
79451,7
79464,18
79519,21
79550,7
79553,6
79586,0
79669,5
79671,5
79717,5
79740,10
79782,18
79889,7
79898,0
79910,2
79928,0
79931,0
80048,0
80080,0
80085,0
80124,25
80195,6
80306,1
80380,18
80443,2
80452,0
80528,0
80788,0
80799,4
80899,0
80902,0
80947,2
80956,42
81026,5
81038,6
81045,8
81075,13
81095,18
81101,4
81149,6
81225,3
81241,3
81306,0
81312,6
81338,6
81369,6
81406,6
81500,0
81775,18
81819,20
81821,6
81827,12
81844,0
81883,6
81918,18
81943,0
82001,0
82012,0
82033,9
82039,10
82086,1
82091,6
82094,6
82098,1
82147,18
82188,19
82271,1
82294,1
82458,3
82491,6
82641,6
82701,3
82742,0
82754,5
82806,6
82827,4
82836,3
82839,35
83854,9
83967,6
83971,0
84016,0
84026,18
84082,5
84123,1
84388,12
84437,17
84442,10
84474,7
84506,2
84533,6
84599,12
84610,3
84654,0
84656,16
84694,0
84711,6
84834,6
84887,0
84933,3
84961,0
84966,32
85145,4
85207,0
85219,6
85270,6
85327,5
85450,16
85457,36
85485,6
85570,1
85595,18
85630,12
85666,23
85686,6
85723,17
85728,2
85729,6
85759,0
85812,2
85832,6
85847,6
85849,6
85913,17
85950,17
85994,18
86012,5
86021,0
86042,13
86123,5
86142,6
86183,1
86186,1
86207,7
86208,7
86210,0
86216,6
86221,11
86224,11
86228,13
86249,6
86252,9
86264,3
86284,17
86293,4
86307,11
86315,12
86322,18
86326,5
86334,11
86335,13
86340,1
86352,6
86372,6
86426,23
86443,2
86455,0
86462,1
86469,8
86470,8
86501,18
86503,1
86504,1
86566,25
86569,6
86582,4
86622,6
86718,19
86749,0
86762,5
86805,0
86840,17
86851,10
86877,1
86901,13
86962,5
87032,6
87087,10
87096,46
87112,2
87116,13
87150,0
87157,0
87176,0
87185,1
87191,0
87203,13
87253,6
87276,0
87277,6
87284,13
87287,0
87300,17
87328,0
87334,7
87337,13
87344,6
87350,6
87372,1
87392,5
87394,5
87403,1
87407,18
87441,13
87462,23
87482,0
87485,0
87491,1
87528,6
87586,0
87590,18
87591,6
87632,6
87634,6
87651,6
87664,6
87696,0
87721,23
87763,0
87802,18
87844,8
87879,3
87885,15
87896,6
87937,2
87942,6
87955,0
87962,13
87980,0
87986,5
88034,0
88062,0
88105,0
88136,1
88177,31
88211,23
88229,14
88256,12
88295,0
88310,1
88313,2
88327,0
88351,23
88387,8
88390,1
88396,18
88404,6
88409,1
88417,5
88454,6
88461,18
88462,18
88477,14
88478,5
88483,2
88548,1
88554,4
88598,4
88618,0
88620,6
88637,18
88664,18
88716,18
88721,0
88733,6
88746,2
88758,5
88772,4
88773,16
88835,18
88863,6
88874,18
88900,18
88903,6
88927,5
88931,0
88937,6
88956,0
89014,0
89026,18
89056,6
89077,4
89141,6
89142,6
89146,6
89183,0
89261,5
89410,2
89433,0
89434,5
89500,6
89518,3
89539,0
89554,0
89586,0
89618,0
89627,0
89666,18
89675,23
89676,6
89733,0
89739,0
89757,6
89800,0
89848,1
89867,21
89873,2
89881,0
89892,0
89903,0
89942,4
89946,0
89949,22
89995,7
89998,0
90052,0
90055,0
90077,45
90083,1
90085,2
90148,6
90238,0
90266,20
90312,12
90393,0
90394,0
90416,0
90429,6
90452,0
90483,0
90504,0
90505,3
90528,6
90549,1
90572,0
90577,3
90594,0
90628,0
90677,0
90721,0
90729,1
90742,1
90773,0
90844,0
90877,2
90908,4
90927,5
90938,17
90965,6
90982,13
91019,1
91046,0
91067,0
91100,0
91104,6
91136,13
91172,1
91225,0
91239,14
91249,0
91255,0
91267,0
91278,0
91319,0
91334,0
91352,13
91356,6
91373,0
91379,2
91440,0
91479,0
91483,0
91495,6
91560,13
91577,0
91602,0
91609,2
91617,4
91647,7
91648,1
91659,4
91677,20
91687,3
91701,3
91725,6
91737,6
91750,0
91752,0
91777,13
91854,6
91888,8
91890,0
91902,0
91910,2
91920,0
91963,3
91966,66
91970,11
91993,10
92029,0
92051,18
92071,0
92082,5
92147,35
92157,12
92218,0
92227,6
92235,0
92284,12
92292,25
92321,12
92324,40
92341,8
92343,10
92408,10
92427,0
92428,0
92433,13
92453,13
92454,2
92482,0
92526,6
92532,2
92535,1
92539,5
92559,0
92572,35
92603,4
92607,1
92616,10
92652,2
92660,0
92661,6
92662,0
92681,0
92687,2
92689,12
92694,6
92695,18
92774,0
92813,0
92825,1
92832,40
92848,3
92849,29
92853,0
92869,0
92880,1
92895,8
92902,66
92966,8
92988,0
92989,5
92998,5
93037,2
93038,5
93043,18
93146,0
93190,0
93210,0
93227,0
93243,0
93261,4
93262,18
93280,0
93298,0
93302,6
93311,0
93355,1
93363,3
93433,1
93447,1
93448,0
93471,1
93477,2
93489,0
93508,13
93651,6
93704,5
93731,3
93826,18
93857,13
93931,0
93943,12
94010,0
94019,0
94036,8
94128,3
94137,13
94174,5
94186,4
94189,9
94190,1
94208,0
94223,13
94287,6
94296,4
94309,6
94320,4
94331,7
94335,11
94338,6
94342,2
94344,0
94355,4
94434,3
94491,0
94495,5
94504,0
94512,0
94525,0
94527,0
94675,0
94686,0
94698,14
94771,0
94772,1
94809,5
94831,6
94967,7
95011,3
95029,17
95046,23
95049,11
95056,7
95064,10
95081,1
95088,0
95103,0
95175,0
95212,0
95233,0
95249,0
95284,11
95291,2
95304,0
95316,0
95359,4
95428,0
95433,2
95438,0
95470,5
95482,3
95499,3
95508,0
95513,0
95524,0
95561,29
95565,7
95615,2
95620,0
95629,0
95648,2
95663,0
95702,0
95739,5
95743,0
95814,0
95833,2
95834,6
95841,17
95852,0
95867,21
95870,13
95875,0
95876,0
95906,7
95914,1
95922,7
95925,0
95946,17
95961,1
95968,0
96004,3
96030,0
96032,0
96053,23
96068,1
96072,59
96090,29
96093,7
96104,0
96124,9
96170,8
96172,1
96179,0
96209,0
96244,0
96271,0
96298,1
96342,2
96422,0
96427,0
96460,6
96464,9
96484,23
96509,6
96557,0
96567,10
96585,0
96633,2
96675,1
96685,0
96704,5
96705,0
96724,0
96725,0
96726,0
96727,0
96728,0
96729,0
96731,0
96757,0
96769,5
96774,0
96799,2
96812,6
96908,1
96918,2
96921,3
96931,6
96982,4
97013,2
97020,1
97030,0
97040,0
97053,0
97054,2
97058,2
97088,0
97095,1
97102,23
97103,4
97106,0
97118,0
97188,13
97203,1
97230,0
97291,13
97294,13
97310,0
97316,0
97318,0
97340,2
97388,6
97390,81
97393,6
97399,5
97408,6
97445,0
97468,0
97485,0
97494,0
97507,1
97537,0
97558,1
97563,15
97606,2
97615,2
97619,4
97623,0
97698,0
97724,1
97740,68
97775,7
97780,6
97801,1
97819,0
97881,0
97916,1
97924,2
97930,6
97967,0
97985,2
97991,9
98007,12
98042,0
98047,0
98057,0
98093,0
98106,4
98135,0
98222,6
98233,0
98280,1
98285,0
98306,2
98356,2
98370,0
98372,36
98389,0
98411,7
98428,0
98431,4
98447,1
98450,0
98468,0
98532,3
98563,0
98571,0
98573,14
98596,1
98617,0
98618,0
98633,1
98641,1
98668,6
98674,18
98693,3
98758,1
98777,0
98785,0
98794,0
98805,0
98819,6
98830,5
98832,0
98840,1
98846,9
98857,1
98870,5
98911,1
98932,13
98940,1
98948,3
98982,27
99028,0
99048,23
99050,7
99056,2
99066,14
99087,0
99094,0
99104,23
99131,1
99162,2
99177,4
99183,4
99192,1
99213,0
99281,23
99304,0
99334,0
99349,0
99402,10
99421,2
99458,0
99463,1
99488,5
99524,0
99543,1
99551,6
99587,23
99618,2
99669,23
99702,8
99721,0
99736,6
99740,7
99742,0
99745,1
99756,1
99757,4
99771,0
99773,1
99790,1
99824,6
99834,14
99851,18
99908,3
99917,0
99940,0
99944,4
99965,3
99974,0
99977,0
100010,13
100011,0
100019,0
100022,2
100039,6
100048,0
100071,4
100075,0
100103,0
100129,0
100135,3
100141,0
100145,10
100150,0
100218,0
100219,5
100221,7
100228,2
100246,6
100255,3
100283,1
100291,15
100295,8
100315,2
100317,1
100330,0
100353,0
100371,4
100394,2
100440,1
100493,3
100521,3
100527,0
100559,0
100577,1
100667,4
100675,1
100676,0
100714,9
100775,0
100792,9
100808,0
100809,0
100817,0
100821,6
100847,28
100851,4
100883,1
100912,0
100938,0
100945,0
100947,3
100974,0
100990,11
101015,6
101057,1
101060,0
101065,7
101077,0
101092,0
101122,10
101127,0
101143,0
101173,4
101180,6
101198,23
101219,2
101223,6
101240,0
101271,14
101308,4
101313,1
101329,1
101361,0
101363,1
101364,0
101409,12
101414,0
101420,3
101431,5
101518,6
101526,0
101548,3
101561,5
101581,0
101592,0
101618,23
101624,23
101703,0
101770,6
101799,0
101808,23
101812,0
101847,23
101857,11
101866,4
101871,23
101881,6
101884,13
101888,4
101889,23
101890,5
101899,0
101902,23
101933,7
101957,0
101973,13
101974,0
101997,2
102017,5
102021,32
102146,0
102148,18
102181,0
102190,17
102222,1
102243,0
102246,3
102252,0
102261,0
102285,25
102290,0
102305,0
102309,8
102314,0
102326,0
102339,0
102403,1
102407,2
102423,5
102428,2
102448,0
102477,18
102478,0
102485,0
102515,0
102522,0
102546,3
102550,0
102556,0
102579,3
102599,0
102618,6
102633,6
102644,5
102646,0
102651,4
102658,24
102663,0
102667,0
102671,6
102707,0
102717,0
102792,0
102823,0
102826,3
102833,0
102838,6
102860,69
102868,18
102918,0
102920,4
102954,9
102960,15
102979,0
102989,0
102991,0
102993,1
103002,0
103027,0
103042,4
103049,23
103057,2
103072,6
103107,18
103117,1
103121,1
103122,0
103148,7
103156,2
103158,1
103204,22
103215,2
103216,0
103227,0
103231,0
103254,0
103264,0
103272,1
103296,2
103299,0
103319,0
103325,0
103340,1
103362,23
103405,4
103474,4
103592,0
103605,5
103621,4
103626,17
103662,0
103681,2
103689,13
103692,0
103738,16
103739,4
103831,1
103901,0
103948,2
103970,0
103973,20
103999,13
104006,1
104014,1
104032,4
104037,0
104041,0
104046,3
104051,0
104064,2
104069,0
104086,0
104157,0
104213,5
104239,0
104240,0
104278,0
104309,0
104311,2
104328,0
104343,12
104372,0
104377,2
104460,0
104488,2
104510,0
104569,16
104590,0
104611,0
104618,0
104630,0
104635,5
104641,2
104648,1
104705,0
104706,0
104803,0
104809,6
104824,2
104848,0
104887,34
104916,3
104918,0
104938,0
104944,0
104988,2
105009,0
105021,0
105029,0
105033,0
105046,2
105053,3
105151,2
105181,0
105200,12
105201,0
105205,0
105211,0
105233,0
105250,1
105282,40
105316,2
105329,13
105362,30
105372,1
105380,1
105394,0
105398,0
105403,0
105429,0
105431,6
105436,7
105453,1
105468,0
105486,0
105529,33
105530,6
105533,32
105534,32
105537,33
105538,0
105540,34
105541,2
105561,1
105563,0
105569,0
105589,19
105606,0
105610,0
105611,10
105636,14
105664,0
105680,0
105704,1
105721,8
105782,6
105787,0
105826,4
105838,11
105841,2
105846,0
105854,12
105868,1
105893,0
105901,2
105928,0
105940,16
105943,1
105991,0
105998,2
106003,0
106004,5
106018,1
106027,0
106073,0
106100,7
106104,9
106125,0
106145,3
106159,0
106243,0
106255,2
106258,23
106272,0
106291,2
106304,13
106313,0
106314,2
106327,0
106354,0
106395,1
106415,2
106455,6
106496,0
106511,0
106521,11
106543,0
106557,1
106576,0
106583,0
106644,9
106659,6
106671,6
106678,18
106724,11
106728,10
106747,9
106751,12
106754,1
106790,0
106791,2
106895,0
106900,2
106936,0
106948,2
106949,0
106967,1
107000,4
107033,21
107036,46
107037,11
107078,0
107083,0
107086,14
107134,3
107152,6
107159,11
107200,0
107224,0
107225,0
107229,0
107253,0
107265,0
107294,0
107307,0
107324,0
107334,0
107342,5
107366,0
107389,5
107427,6
107438,2
107526,0
107530,0
107541,20
107561,0
107564,0
107567,23
107577,2
107578,2
107593,0
107602,3
107605,0
107629,0
107638,0
107641,7
107647,1
107739,15
107755,0
107768,3
107870,11
107874,23
107890,7
107894,2
107897,0
107926,0
107929,0
107931,0
107945,0
107970,0
107973,0
107974,1
108060,4
108063,23
108066,3
108077,11
108090,3
108101,1
108116,0
108119,0
108164,0
108165,3
108205,4
108228,5
108240,0
108246,3
108254,17
108284,7
108294,0
108304,0
108314,14
108324,0
108332,1
108406,1
108437,12
108470,2
108490,1
108501,9
108529,7
108567,3
108602,3
108625,0
108648,4
108667,34
108705,2
108710,6
108715,8
108729,0
108742,0
108750,2
108757,1
108767,4
108831,0
108883,5
108934,17
108936,2
108961,3
108964,1
108980,0
108993,0
109011,0
109013,13
109024,0
109036,2
109098,21
109105,1
109114,0
109144,0
109180,6
109184,6
109193,0
109231,9
109252,0
109257,2
109295,0
109356,2
109374,5
109389,7
109428,0
109442,0
109470,0
109536,10
109591,6
109603,3
109617,0
109626,0
109654,0
109661,0
109664,0
109676,4
109752,1
109762,4
109773,0
109777,3
109789,1
109811,0
109893,0
109909,0
109916,0
109933,0
109947,18
109999,2
110020,2
110052,0
110056,0
110083,0
110092,0
110112,5
110122,0
110132,11
110154,0
110166,1
110176,6
110192,57
110205,2
110218,12
110224,0
110229,3
110260,2
110272,0
110311,6
110336,0
110462,31
110466,0
110503,0
110513,3
110643,0
110693,12
110710,0
110716,23
110739,0
110752,6
110797,0
110809,0
110835,2
110838,0
110876,0
110896,23
110899,0
110900,14
110901,2
110914,12
110921,0
110936,2
110943,23
111020,3
111021,2
111029,0
111050,1
111061,0
111071,4
111072,0
