project_ID,CCEL
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
13,0
14,0
15,0
16,0
18,0
19,0
20,0
21,0
22,0
24,0
25,0
26,0
29,0
30,0
32,0
34,0
35,0
42,0
46,0
47,0
57,0
59,0
65,0
68,0
76,0
92,0
97,0
102,0
105,0
111,0
17375,4
17416,1
17477,3
17485,3
17487,3
17537,1
17548,3
17648,3
17884,4
17896,4
17990,10
18014,6
18045,9
18149,10
18230,8
18237,8
19007,2
19027,4
19079,3
19226,3
19235,2
19236,2
19237,3
19243,4
19257,2
19259,2
19261,2
19262,5
19341,5
19343,4
19349,11
19369,2
19382,15
19577,2
19755,2
19756,2
19839,12
19841,2
19866,3
19872,2
19878,2
20142,10
20180,3
20220,3
20368,2
20375,2
20382,2
20533,4
20535,2
20548,8
20588,12
20687,4
20786,29
20792,2
20860,2
20863,2
20868,2
20944,7
21128,2
21163,2
21176,2
21221,6
21329,9
21428,2
21442,3
21445,8
21609,2
21662,16
21707,4
21781,2
21839,3
21858,3
21880,6
21884,2
21949,3
21959,28
21966,7
21994,3
22007,3
22050,3
22088,3
22104,2
22191,1
22194,1
22220,1
22224,41
22272,14
22316,1
22318,6
22320,16
22367,29
22383,2
22390,16
22440,2
22610,2
22649,2
22766,35
22859,2
22996,1
23028,9
23040,3
23043,1
23094,23
23131,2
23143,1
23155,2
23162,17
23215,2
23218,2
23274,4
23276,1
23282,2
23286,2
23306,1
23333,6
23847,3
23884,9
23903,2
23933,1
23969,6
24037,20
24052,13
24053,3
24157,1
24179,2
24208,4
24271,13
24272,3
24289,1
24315,27
24321,1
24341,2
24344,1
24422,68
24447,1
24475,2
24487,22
24528,4
24529,2
24551,1
24592,6
24594,3
24596,2
24597,2
24600,2
24603,2
24604,2
24622,2
24638,2
24641,3
24647,11
24649,3
24661,17
24692,2
24697,2
24700,1
24701,1
24710,2
24754,2
24798,1
24806,7
24813,4
24834,1
24840,8
24848,23
24881,4
24897,2
24901,4
24950,2
24959,1
25005,1
25015,5
25043,1
25120,1
25132,4
25166,1
25189,1
25221,2
25284,6
25316,2
25318,2
25320,6
25321,18
25337,4
25416,6
25417,2
25419,2
25432,2
25507,2
25601,1
