project_ID,H1
17990,0
18014,2
18045,1
18149,0
18230,1
18237,1
19079,1
19349,1
19382,1
19839,1
19878,0
20687,1
20786,0
21442,0
21662,0
21959,1
22367,0
23162,1
23333,1
24421,24
24422,2
24754,0
24901,1
26641,1
26695,1
27074,0
27189,0
27369,3
27421,1
28000,0
28602,1
28920,1
28981,0
29004,1
29302,1
29780,1
29875,0
30036,0
30071,0
30139,0
30219,1
30650,1
30980,0
31263,0
31298,0
31367,0
31510,1
31559,0
31590,0
31736,1
31742,0
31754,0
31938,0
32102,0
32123,0
32246,0
32453,0
32670,0
32841,1
33097,0
33150,0
33159,0
33318,0
33326,1
33607,0
33830,0
33888,1
34024,1
34084,6
34134,1
34399,7
34413,1
34614,1
34654,1
34675,0
34821,0
34839,1
35022,1
35059,1
35070,4
35163,2
35169,1
35180,3
35249,0
35252,0
35287,1
35311,3
35348,0
35403,0
35437,0
35451,1
35466,0
35470,0
35550,1
35755,1
35786,0
35830,0
35994,1
36085,0
36106,0
36216,2
36219,1
36267,2
36298,1
36448,0
36526,8
36553,0
36836,1
36977,0
37042,2
37197,0
37247,1
37325,0
37369,3
37439,0
37566,0
37601,1
37658,1
37660,0
37811,0
37972,1
38113,0
38160,0
38173,2
38758,0
39019,1
39137,0
39239,1
39590,1
39694,1
39721,1
39743,1
39785,1
39852,0
39906,1
39907,8
39928,0
39950,1
39960,1
40018,1
40105,1
40123,1
40208,1
40223,3
40353,1
40359,1
40366,1
40412,0
40418,0
40533,1
40767,8
40778,1
40991,1
41016,1
41028,1
41077,1
41186,1
41246,2
41291,1
41332,1
41336,1
41390,1
41454,1
41455,1
41527,1
41557,0
41567,1
41657,1
41677,0
42702,1
42721,1
42723,1
42763,1
42777,1
42867,1
42900,1
42924,1
42930,1
43097,1
43187,1
43332,1
43348,1
43368,1
43474,0
43543,1
43546,1
43638,3
43639,2
43646,2
43712,0
43959,0
44045,0
44106,1
44114,1
44348,0
44435,1
44448,0
44474,1
44543,1
44700,0
44738,0
44740,0
44749,0
44984,0
45089,0
45103,1
45231,0
45232,1
45271,1
45307,0
45500,0
45640,4
45645,0
45718,0
45911,0
45917,0
45932,1
45948,0
46029,0
46036,1
46062,0
46168,0
46422,0
46613,3
46740,1
46859,0
46948,0
46962,1
46980,2
47005,0
47325,7
47330,0
47355,1
47652,1
47680,0
47688,3
47806,0
47948,0
48006,13
48102,0
48346,0
48587,0
48679,0
48839,0
48852,0
48893,6
49023,1
49181,0
49369,0
49603,1
49724,0
49739,0
49772,0
49810,1
49951,2
50321,1
50440,0
50443,1
50493,0
50579,1
50672,1
50725,0
50820,3
50868,0
51037,0
51061,1
51110,0
51176,0
51225,6
51226,6
51238,2
51314,0
51443,2
51491,2
51535,1
51543,1
51670,2
51681,0
51777,0
51850,0
51949,2
51998,1
52206,0
52290,1
52414,0
52551,1
52647,2
52741,1
52910,1
52960,2
53102,0
53209,0
53215,0
53217,0
53445,0
53548,0
53565,0
53570,1
53732,2
53816,0
53823,2
53870,1
53873,0
53998,9
54002,3
54275,9
54439,1
54484,1
54801,1
55351,0
55526,0
55546,0
55560,12
55595,0
55660,0
55689,1
55847,8
55882,12
55885,1
55917,0
55926,0
55941,1
55966,0
56015,12
56137,12
56246,2
56356,13
56381,1
56416,0
56430,0
56533,0
56555,12
56785,0
56890,1
56903,1
57112,0
57202,0
57411,13
57480,1
57501,2
57560,0
57571,1
57652,8
57661,13
57666,13
57682,13
57728,1
57737,0
57809,0
57886,8
57937,1
58045,0
58089,0
58140,4
58182,0
58285,0
58318,0
58378,0
58657,0
58878,13
58886,27
59238,6
59276,4
59302,6
59416,1
59444,0
59469,2
59613,7
59669,8
59778,0
60018,0
60087,1
60101,0
60112,0
60141,0
60219,0
60330,8
60402,0
60409,1
60428,0
60490,0
60527,0
60535,0
60594,10
60671,0
60785,1
60863,0
60934,1
61000,1
61028,1
61090,0
61092,0
61114,0
61163,0
61186,3
61190,1
61217,12
61220,12
61222,10
61262,2
61277,23
61391,0
61432,0
61493,0
61541,1
61597,0
61689,0
61691,13
61732,1
61758,1
61789,1
61862,0
61868,0
61873,6
61947,0
61985,14
62054,0
62067,12
62150,0
62161,0
62199,1
62220,1
62250,0
62272,1
62279,0
62300,0
62358,1
62382,1
62385,0
62387,0
62398,0
62424,13
62431,0
62432,0
62507,1
62528,27
62587,0
62598,0
62690,1
62730,1
62745,0
62794,0
62860,10
62868,0
62890,1
62906,12
62969,0
62996,0
62999,1
63038,1
63103,1
63146,0
63172,1
63205,0
63226,0
63251,0
63294,0
63315,4
63363,0
63398,2
63468,1
63481,0
63505,0
63510,0
63522,0
63525,1
63549,0
63567,0
63591,0
63639,0
63671,6
63729,7
63746,1
63751,0
63779,0
63903,1
63930,13
63932,0
63938,1
63961,0
63980,0
64027,1
64083,1
64087,0
64181,27
64198,0
64199,0
64247,1
64358,1
64451,1
64506,0
64535,0
64566,0
64590,0
64599,1
64612,0
64696,1
64703,0
64771,0
64828,0
64839,1
64889,1
64909,0
64943,0
64961,1
65008,0
65017,1
65060,0
65229,0
65231,2
65348,0
65357,0
65376,1
65395,0
65399,2
65453,1
65464,6
65502,6
65628,0
65668,1
65725,1
65832,1
65900,1
65930,1
65963,0
66029,1
66108,0
66383,0
66419,0
66445,1
66537,0
66676,1
66702,15
66722,27
66752,1
66819,0
66828,2
66940,0
66993,1
67061,0
67066,0
67073,0
67148,0
67315,1
67337,3
67399,1
67421,0
67439,27
67673,0
67678,0
67789,3
67830,0
68049,1
68115,1
68129,0
68142,0
68156,1
68167,3
68231,1
68362,0
68416,7
68460,0
68523,1
68632,3
68634,0
68664,1
68719,0
68826,0
69227,3
69318,1
69418,0
69443,0
69522,1
69542,0
69600,0
69611,0
69725,1
69782,0
69804,0
69812,1
69872,0
69896,0
70056,1
70092,0
70217,0
70293,0
70308,0
70428,1
70593,0
70607,0
70713,0
70758,2
70955,3
71011,0
71027,1
71041,3
71058,0
71285,0
71375,6
71492,0
71500,0
71535,2
71550,1
71625,0
71633,0
71640,0
71711,2
71778,1
71830,12
71865,0
71950,2
71977,0
72054,0
72146,1
72152,0
72290,0
72324,5
72382,0
72415,0
72521,27
72555,0
72573,7
72883,2
72946,1
72986,2
73045,13
73056,0
73143,0
73207,1
73287,8
73358,13
73470,1
73535,1
73751,0
73798,0
73931,0
73992,0
73997,0
74042,0
74156,0
74173,0
74465,1
74571,1
74645,0
74714,0
74721,0
74804,0
74858,1
75187,3
75195,0
75203,1
75287,0
75452,1
75485,0
75813,0
75877,0
75932,1
75933,0
75998,0
76090,1
76108,2
76167,1
76235,3
76315,0
76319,8
76342,1
76522,2
76614,1
76656,1
76703,0
76796,0
76853,1
76930,0
77121,0
77135,1
77209,1
77214,0
77220,2
77289,1
77320,1
77321,6
77442,1
77678,0
77764,0
77803,0
77808,3
77909,0
77911,1
77947,0
77978,0
77994,0
78000,0
78039,1
78054,0
78069,0
78150,0
78246,0
78310,0
78313,0
78323,3
78350,0
78419,0
78451,0
78453,0
78454,0
78456,0
78457,0
78461,0
78582,0
78596,0
78600,0
78605,6
78615,1
78723,0
78757,0
78801,0
78821,0
78856,0
78876,0
78881,0
78882,0
78894,5
78896,6
78897,1
78939,0
78948,0
78949,0
79004,0
79082,0
79088,0
79120,0
79165,1
79217,8
79280,6
79298,8
79358,1
79373,6
79393,1
79451,1
79464,1
79519,1
79550,1
79553,1
79586,0
79669,0
79671,0
79717,0
79740,2
79782,1
79889,0
79898,0
79910,1
79928,0
79931,0
80048,0
80080,0
80085,0
80124,0
80195,1
80306,0
80380,1
80443,1
80452,0
80528,0
80788,1
80799,1
80899,1
80902,0
80947,0
80956,2
81026,0
81038,1
81045,2
81075,2
81095,1
81101,1
81149,1
81225,6
81241,0
81306,6
81312,1
81338,1
81369,1
81406,1
81500,0
81775,1
81819,4
81821,1
81827,0
81844,0
81883,1
81918,1
81943,1
82001,0
82012,1
82033,1
82039,1
82086,0
82091,1
82094,1
82098,0
82147,1
82188,1
82271,0
82294,1
82458,1
82491,1
82641,0
82701,0
82742,0
82754,0
82806,1
82827,0
82836,1
82839,0
83854,0
83967,1
83971,0
84016,6
84026,1
84082,0
84123,0
84388,2
84437,0
84442,1
84474,0
84506,0
84533,1
84599,1
84610,1
84654,0
84656,0
84694,0
84711,1
84834,1
84887,0
84933,0
84961,0
84966,12
85145,0
85207,0
85219,1
85270,2
85327,1
85450,1
85457,2
85485,1
85570,0
85595,1
85630,2
85666,1
85686,1
85723,0
85728,0
85729,1
85759,0
85812,0
85832,1
85847,1
85849,1
85913,2
85950,2
85994,1
86012,0
86021,0
86042,0
86123,0
86142,1
86183,0
86186,0
86207,0
86208,0
86210,0
86216,1
86221,1
86224,1
86228,0
86249,1
86252,1
86264,2
86284,0
86293,0
86307,1
86315,0
86322,1
86326,0
86334,0
86335,0
86340,0
86352,1
86372,1
86426,1
86443,0
86455,0
86462,0
86469,2
86470,2
86501,1
86503,0
86504,0
86566,1
86569,1
86582,0
86622,1
86718,0
86749,0
86762,0
86805,0
86840,0
86851,1
86877,0
86901,0
86962,0
87032,1
87087,1
87096,0
87112,0
87116,0
87150,0
87157,0
87176,0
87185,1
87191,1
87203,0
87253,1
87276,0
87277,1
87284,0
87287,0
87300,1
87328,0
87334,0
87337,0
87344,1
87350,1
87372,0
87392,0
87394,0
87403,0
87407,1
87441,0
87462,1
87482,0
87485,0
87491,0
87528,1
87586,0
87590,1
87591,1
87632,1
87634,1
87651,1
87664,1
87696,0
87721,1
87763,0
87802,1
87844,3
87879,0
87885,4
87896,1
87937,0
87942,1
87955,0
87962,0
87980,0
87986,0
88034,6
88062,0
88105,0
88136,0
88177,0
88211,1
88229,0
88256,5
88295,0
88310,0
88313,0
88327,0
88351,1
88387,1
88390,0
88396,1
88404,1
88409,0
88417,0
88454,1
88461,1
88462,1
88477,1
88478,1
88483,0
88548,0
88554,3
88598,1
88618,0
88620,1
88637,1
88664,1
88716,2
88721,0
88733,1
88746,0
88758,0
88772,1
88773,5
88835,1
88863,1
88874,1
88900,1
88903,1
88927,0
88931,0
88937,1
88956,0
89014,0
89026,1
89056,1
89077,1
89141,1
89142,1
89146,1
89183,0
89261,0
89410,0
89433,1
89434,0
89500,1
89518,13
89539,0
89554,0
89586,0
89618,0
89627,0
89666,2
89675,1
89676,1
89733,0
89739,0
89757,1
89800,0
89848,0
89867,0
89873,4
89881,1
89892,0
89903,0
89942,0
89946,0
89949,0
89995,0
89998,1
90052,0
90055,0
90077,0
90083,0
90085,0
90148,1
90238,0
90266,0
90312,0
90393,0
90394,0
90416,0
90429,1
90452,0
90483,0
90504,0
90505,2
90528,1
90549,0
90572,0
90577,0
90594,0
90628,1
90677,1
90721,0
90729,0
90742,0
90773,0
90844,0
90877,1
